country,type,date,demand
AT,power,2019-06-27,21041800.0
AT,power,2019-06-28,24069000.0
AT,power,2019-06-29,21642600.0
AT,power,2019-06-30,2149800.0
AT,power,2019-07-01,38222600.0
AT,power,2019-07-02,25766600.0
AT,power,2019-07-03,36973400.0
AT,power,2019-07-04,41308800.0
AT,power,2019-07-05,11792600.0
AT,power,2019-07-06,19287600.0
AT,power,2019-07-07,2025200.0
AT,power,2019-07-08,46879000.0
AT,power,2019-07-09,41923000.0
AT,power,2019-07-10,30235000.0
AT,power,2019-07-11,53060200.0
AT,power,2019-07-12,29190600.0
AT,power,2019-07-13,52600.0
AT,power,2019-07-14,51600.0
AT,power,2019-07-15,41043200.0
AT,power,2019-07-16,38267800.0
AT,power,2019-07-17,43046600.0
AT,power,2019-07-18,57820000.0
AT,power,2019-07-19,52248400.0
AT,power,2019-07-20,27476200.0
AT,power,2019-07-21,44314400.0
AT,power,2019-07-22,45684800.0
AT,power,2019-07-23,42698000.0
AT,power,2019-07-24,45979200.0
AT,power,2019-07-25,36185400.0
AT,power,2019-07-26,44912400.0
AT,power,2019-07-27,36684000.0
AT,power,2019-07-28,2543400.0
AT,power,2019-07-29,0.0
AT,power,2019-07-30,11371000.0
AT,power,2019-07-31,35973000.0
AT,power,2019-08-01,27388000.0
AT,power,2019-08-02,26966000.0
AT,power,2019-08-03,0.0
AT,power,2019-08-04,0.0
AT,power,2019-08-05,37948000.0
AT,power,2019-08-06,37967600.0
AT,power,2019-08-07,29246800.0
AT,power,2019-08-08,44833400.0
AT,power,2019-08-09,29072800.0
AT,power,2019-08-10,17613399.999999996
AT,power,2019-08-11,22091200.0
AT,power,2019-08-12,49258000.0
AT,power,2019-08-13,53101200.0
AT,power,2019-08-14,35756400.0
AT,power,2019-08-15,5316600.0
AT,power,2019-08-16,36207400.0
AT,power,2019-08-17,18909400.0
AT,power,2019-08-18,19344000.0
AT,power,2019-08-19,77774800.0
AT,power,2019-08-20,63296400.0
AT,power,2019-08-21,55322600.0
AT,power,2019-08-22,73877800.0
AT,power,2019-08-23,60453200.00000001
AT,power,2019-08-24,61118000.0
AT,power,2019-08-25,38931800.0
AT,power,2019-08-26,96805400.0
AT,power,2019-08-27,98219600.0
AT,power,2019-08-28,93574000.0
AT,power,2019-08-29,80026400.0
AT,power,2019-08-30,72053000.0
AT,power,2019-08-31,45893600.0
AT,power,2019-09-01,51471800.0
AT,power,2019-09-02,67377400.0
AT,power,2019-09-03,44062400.0
AT,power,2019-09-04,76724600.0
AT,power,2019-09-05,75268400.0
AT,power,2019-09-06,55877800.0
AT,power,2019-09-07,68786200.0
AT,power,2019-09-08,41129000.0
AT,power,2019-09-09,51487800.0
AT,power,2019-09-10,59616600.0
AT,power,2019-09-11,47324400.0
AT,power,2019-09-12,51274800.0
AT,power,2019-09-13,62382600.0
AT,power,2019-09-14,37982000.0
AT,power,2019-09-15,30630800.0
AT,power,2019-09-16,66076600.00000001
AT,power,2019-09-17,78148400.0
AT,power,2019-09-18,54746600.0
AT,power,2019-09-19,81069200.0
AT,power,2019-09-20,89865400.0
AT,power,2019-09-21,60702400.0
AT,power,2019-09-22,28886200.0
AT,power,2019-09-23,76797000.0
AT,power,2019-09-24,99842200.0
AT,power,2019-09-25,85634200.0
AT,power,2019-09-26,80559400.0
AT,power,2019-09-27,63635400.0
AT,power,2019-09-28,47434400.0
AT,power,2019-09-29,58588800.0
AT,power,2019-09-30,61722800.0
AT,power,2019-10-01,73451800.0
AT,power,2019-10-02,91209800.0
AT,power,2019-10-03,83732000.0
AT,power,2019-10-04,83724800.0
AT,power,2019-10-05,54775400.0
AT,power,2019-10-06,45038800.0
AT,power,2019-10-07,72332800.0
AT,power,2019-10-08,61525600.0
AT,power,2019-10-09,85058200.0
AT,power,2019-10-10,69971600.0
AT,power,2019-10-11,40522400.0
AT,power,2019-10-12,47232400.0
AT,power,2019-10-13,47665800.0
AT,power,2019-10-14,71612800.0
AT,power,2019-10-15,79126600.0
AT,power,2019-10-16,91177600.0
AT,power,2019-10-17,81556800.0
AT,power,2019-10-18,98131400.0
AT,power,2019-10-19,73693600.0
AT,power,2019-10-20,77602200.0
AT,power,2019-10-21,90344800.0
AT,power,2019-10-22,100432600.0
AT,power,2019-10-23,92796000.0
AT,power,2019-10-24,86155600.0
AT,power,2019-10-25,107364200.0
AT,power,2019-10-26,59232600.0
AT,power,2019-10-27,86593400.0
AT,power,2019-10-28,93704600.0
AT,power,2019-10-29,115057800.0
AT,power,2019-10-30,108577200.0
AT,power,2019-10-31,100421200.0
AT,power,2019-11-01,68380800.0
