country,date,demand,type,source
DK,2016-05-01,2.026112732,total,eurostat
EE,2016-05-01,0.2361113,total,eurostat
ES,2016-05-01,23.140296290000002,total,eurostat
EU27_2020,2016-05-01,240.232692186,total,eurostat
FI,2016-05-01,1.407223348,total,eurostat
FR,2016-05-01,25.584464912,total,eurostat
GR,2016-05-01,2.733057742,total,eurostat
HR,2016-05-01,2.101112792,total,eurostat
HU,2016-05-01,5.189448596,total,eurostat
IE,2016-05-01,4.306670112,total,eurostat
IT,2016-05-01,44.185590904,total,eurostat
LT,2016-05-01,1.751668068,total,eurostat
LU,2016-05-01,0.601111592,total,eurostat
LV,2016-05-01,0.615556048,total,eurostat
MT,2016-05-01,0.0,total,eurostat
NL,2016-05-01,21.621128408,total,eurostat
PL,2016-05-01,12.44028773,total,eurostat
PT,2016-05-01,3.823891948,total,eurostat
RO,2016-05-01,7.073338992,total,eurostat
SE,2016-05-01,0.501667068,total,eurostat
SI,2016-05-01,0.591389362,total,eurostat
SK,2016-05-01,0.617778272,total,eurostat
AT,2016-06-01,3.970280954,total,eurostat
BE,2016-06-01,9.159451772,total,eurostat
BG,2016-06-01,2.191390642,total,eurostat
CY,2016-06-01,0.0,total,eurostat
CZ,2016-06-01,3.5777806400000003,total,eurostat
DE,2016-06-01,43.070590012000004,total,eurostat
DK,2016-06-01,1.848057034,total,eurostat
EE,2016-06-01,0.193333488,total,eurostat
ES,2016-06-01,22.103073238,total,eurostat
EU27_2020,2016-06-01,208.347944456,total,eurostat
FI,2016-06-01,1.414167798,total,eurostat
FR,2016-06-01,20.576127572,total,eurostat
GR,2016-06-01,3.73194743,total,eurostat
HR,2016-06-01,1.492778972,total,eurostat
HU,2016-06-01,4.114725514,total,eurostat
IE,2016-06-01,4.153058878,total,eurostat
IT,2016-06-01,39.32780924,total,eurostat
LT,2016-06-01,1.366389982,total,eurostat
LU,2016-06-01,0.500555956,total,eurostat
LV,2016-06-01,0.686944994,total,eurostat
MT,2016-06-01,0.0,total,eurostat
NL,2016-06-01,20.158627238,total,eurostat
PL,2016-06-01,10.396397206,total,eurostat
PT,2016-06-01,4.6166703600000005,total,eurostat
RO,2016-06-01,6.319727278,total,eurostat
SE,2016-06-01,0.44500035600000004,total,eurostat
SI,2016-06-01,0.5197226380000001,total,eurostat
SK,2016-06-01,2.413335264,total,eurostat
AT,2016-07-01,4.0458365700000005,total,eurostat
BE,2016-07-01,8.49584013,total,eurostat
BG,2016-07-01,1.79027921,total,eurostat
CY,2016-07-01,0.0,total,eurostat
CZ,2016-07-01,3.351113792,total,eurostat
DE,2016-07-01,46.870315274,total,eurostat
DK,2016-07-01,1.57083459,total,eurostat
EE,2016-07-01,0.177222364,total,eurostat
ES,2016-07-01,23.668630046,total,eurostat
EU27_2020,2016-07-01,216.603784394,total,eurostat
FI,2016-07-01,1.376945546,total,eurostat
FR,2016-07-01,19.733626898,total,eurostat
GR,2016-07-01,3.7552807820000003,total,eurostat
HR,2016-07-01,1.124445344,total,eurostat
HU,2016-07-01,4.182781124,total,eurostat
IE,2016-07-01,3.812780828,total,eurostat
IT,2016-07-01,44.354757706,total,eurostat
LT,2016-07-01,1.0383341640000001,total,eurostat
LU,2016-07-01,0.458889256,total,eurostat
LV,2016-07-01,0.625556056,total,eurostat
MT,2016-07-01,0.0,total,eurostat
NL,2016-07-01,20.445571912000002,total,eurostat
PL,2016-07-01,10.564730674,total,eurostat
PT,2016-07-01,5.368893184,total,eurostat
RO,2016-07-01,6.5694497,total,eurostat
SE,2016-07-01,0.411389218,total,eurostat
SI,2016-07-01,0.501111512,total,eurostat
SK,2016-07-01,2.309168514,total,eurostat
AT,2016-08-01,3.914169798,total,eurostat
BE,2016-08-01,9.164451776,total,eurostat
BG,2016-08-01,1.82500146,total,eurostat
CY,2016-08-01,0.0,total,eurostat
CZ,2016-08-01,3.6358362420000003,total,eurostat
DE,2016-08-01,46.958648678,total,eurostat
DK,2016-08-01,1.753612514,total,eurostat
EE,2016-08-01,0.182500146,total,eurostat
ES,2016-08-01,21.385850442000002,total,eurostat
EU27_2020,2016-08-01,209.30405633200002,total,eurostat
FI,2016-08-01,1.4686122860000002,total,eurostat
FR,2016-08-01,18.188625662,total,eurostat
GR,2016-08-01,3.2802804020000003,total,eurostat
HR,2016-08-01,1.6630568860000001,total,eurostat
HU,2016-08-01,4.204725586,total,eurostat
IE,2016-08-01,3.911947574,total,eurostat
IT,2016-08-01,37.666141244,total,eurostat
LT,2016-08-01,1.088056426,total,eurostat
LU,2016-08-01,0.391111424,total,eurostat
LV,2016-08-01,0.589167138,total,eurostat
MT,2016-08-01,0.0,total,eurostat
NL,2016-08-01,21.167516934000002,total,eurostat
PL,2016-08-01,11.172508938,total,eurostat
PT,2016-08-01,4.997781776,total,eurostat
RO,2016-08-01,6.976672248,total,eurostat
SE,2016-08-01,0.497500398,total,eurostat
SI,2016-08-01,0.49638928600000004,total,eurostat
SK,2016-08-01,2.723891068,total,eurostat
AT,2016-09-01,5.309448692,total,eurostat
BE,2016-09-01,9.718896664,total,eurostat
BG,2016-09-01,2.154446168,total,eurostat
CY,2016-09-01,0.0,total,eurostat
CZ,2016-09-01,4.4766702480000005,total,eurostat
DE,2016-09-01,46.639203978000005,total,eurostat
DK,2016-09-01,1.71527915,total,eurostat
EE,2016-09-01,0.21000016800000001,total,eurostat
ES,2016-09-01,23.248907488,total,eurostat
EU27_2020,2016-09-01,237.90574588,total,eurostat
FI,2016-09-01,1.389167778,total,eurostat
FR,2016-09-01,23.72779676,total,eurostat
GR,2016-09-01,3.4477805360000002,total,eurostat
HR,2016-09-01,1.830001464,total,eurostat
HU,2016-09-01,4.607781464,total,eurostat
IE,2016-09-01,4.53055918,total,eurostat
IT,2016-09-01,49.265594968,total,eurostat
LT,2016-09-01,1.293334368,total,eurostat
LU,2016-09-01,0.474722602,total,eurostat
LV,2016-09-01,0.6075004860000001,total,eurostat
MT,2016-09-01,0.0,total,eurostat
NL,2016-09-01,22.194739978,total,eurostat
PL,2016-09-01,11.595009276,total,eurostat
PT,2016-09-01,5.7858379620000004,total,eurostat
RO,2016-09-01,8.496117908,total,eurostat
SE,2016-09-01,0.599167146,total,eurostat
SI,2016-09-01,0.533611538,total,eurostat
SK,2016-09-01,4.05416991,total,eurostat
AT,2016-10-01,8.539451276,total,eurostat
BE,2016-10-01,16.311679716,total,eurostat
BG,2016-10-01,2.978057938,total,eurostat
CY,2016-10-01,0.0,total,eurostat
CZ,2016-10-01,8.433062302,total,eurostat
DE,2016-10-01,77.181450634,total,eurostat
DK,2016-10-01,3.1005580360000002,total,eurostat
EE,2016-10-01,0.49111150400000003,total,eurostat
ES,2016-10-01,27.061688316,total,eurostat
EU27_2020,2016-10-01,344.049997462,total,eurostat
FI,2016-10-01,1.70972359,total,eurostat
FR,2016-10-01,41.816144564,total,eurostat
GR,2016-10-01,4.071947702,total,eurostat
HR,2016-10-01,2.960002368,total,eurostat
HU,2016-10-01,8.97917385,total,eurostat
IE,2016-10-01,4.518614726,total,eurostat
IT,2016-10-01,59.637269932,total,eurostat
LT,2016-10-01,2.272779596,total,eurostat
LU,2016-10-01,0.756111716,total,eurostat
LV,2016-10-01,1.485834522,total,eurostat
