country,date,demand,type,source
AT,2019-05-07,210765052.362,total,aggm
AT,2019-05-08,230155895.30800003,total,aggm
AT,2019-05-09,181091864.384,total,aggm
AT,2019-05-10,163617017.951,total,aggm
AT,2019-05-11,192599808.93699998,total,aggm
AT,2019-05-12,230570120.433,total,aggm
AT,2019-05-13,238297752.949,total,aggm
AT,2019-05-14,256956687.083,total,aggm
AT,2019-05-15,233929636.21499997,total,aggm
AT,2019-05-16,205015639.38799998,total,aggm
AT,2019-05-17,156881001.653,total,aggm
AT,2019-05-18,145563396.161,total,aggm
AT,2019-05-19,172160617.331,total,aggm
AT,2019-05-20,181876115.733,total,aggm
AT,2019-05-21,185588975.162,total,aggm
AT,2019-05-22,181301292.213,total,aggm
AT,2019-05-23,158787076.236,total,aggm
AT,2019-05-24,130740408.46900001,total,aggm
AT,2019-05-25,122852794.814,total,aggm
AT,2019-05-26,149290922.365,total,aggm
AT,2019-05-27,156361526.967,total,aggm
AT,2019-05-28,170040566.781,total,aggm
AT,2019-05-29,152922296.51299998,total,aggm
AT,2019-05-30,147694190.636,total,aggm
AT,2019-05-31,125545228.58299999,total,aggm
AT,2019-06-01,118047202.135,total,aggm
AT,2019-06-02,137748186.73,total,aggm
AT,2019-06-03,147875896.762,total,aggm
AT,2019-06-04,137007991.411,total,aggm
AT,2019-06-05,135961880.65699998,total,aggm
AT,2019-06-06,139990173.873,total,aggm
AT,2019-06-07,116363999.408,total,aggm
AT,2019-06-08,108527676.869,total,aggm
AT,2019-06-09,109940515.36,total,aggm
AT,2019-06-10,138275308.564,total,aggm
AT,2019-06-11,145818846.02699998,total,aggm
AT,2019-06-12,150835545.465,total,aggm
AT,2019-06-13,141946080.17900002,total,aggm
AT,2019-06-14,111760312.758,total,aggm
AT,2019-06-15,113210287.27,total,aggm
AT,2019-06-16,131250489.38100001,total,aggm
AT,2019-06-17,159342026.233,total,aggm
AT,2019-06-18,158830280.948,total,aggm
AT,2019-06-19,116481409.044,total,aggm
AT,2019-06-20,139872444.72,total,aggm
AT,2019-06-21,109627384.521,total,aggm
AT,2019-06-22,110232590.235,total,aggm
AT,2019-06-23,160777276.45000002,total,aggm
AT,2019-06-24,159301404.609,total,aggm
AT,2019-06-25,167128282.394,total,aggm
AT,2019-06-26,147847668.27699998,total,aggm
AT,2019-06-27,143277187.28399998,total,aggm
AT,2019-06-28,122865598.395,total,aggm
AT,2019-06-29,100835212.954,total,aggm
AT,2019-06-30,156640645.757,total,aggm
AT,2019-07-01,146044625.24,total,aggm
AT,2019-07-02,153448254.643,total,aggm
AT,2019-07-03,154334175.997,total,aggm
AT,2019-07-04,122557653.652,total,aggm
AT,2019-07-05,114620158.573,total,aggm
AT,2019-07-06,96036289.317,total,aggm
AT,2019-07-07,156574138.979,total,aggm
AT,2019-07-08,151982391.00300002,total,aggm
AT,2019-07-09,144805164.393,total,aggm
AT,2019-07-10,165680226.56100002,total,aggm
AT,2019-07-11,140796666.318,total,aggm
AT,2019-07-12,104670925.838,total,aggm
AT,2019-07-13,100132937.36999999,total,aggm
AT,2019-07-14,159933367.84600002,total,aggm
AT,2019-07-15,150409280.183,total,aggm
AT,2019-07-16,154506622.656,total,aggm
AT,2019-07-17,167107758.759,total,aggm
AT,2019-07-18,165136044.9,total,aggm
AT,2019-07-19,123192818.355,total,aggm
AT,2019-07-20,138792327.11200002,total,aggm
AT,2019-07-21,159496216.991,total,aggm
AT,2019-07-22,156182093.0,total,aggm
AT,2019-07-23,160000017.0,total,aggm
AT,2019-07-24,150952351.0,total,aggm
AT,2019-07-25,165195034.0,total,aggm
AT,2019-07-26,136612727.0,total,aggm
AT,2019-07-27,99693828.0,total,aggm
AT,2019-07-28,108247711.0,total,aggm
AT,2019-07-29,122078659.0,total,aggm
AT,2019-07-30,148909991.0,total,aggm
AT,2019-07-31,140892411.382,total,aggm
AT,2019-08-01,135144894.628,total,aggm
AT,2019-08-02,102245925.735,total,aggm
AT,2019-08-03,98729797.755,total,aggm
AT,2019-08-04,148752138.391,total,aggm
AT,2019-08-05,146796644.474,total,aggm
AT,2019-08-06,141649624.517,total,aggm
AT,2019-08-07,159357651.07,total,aggm
AT,2019-08-08,140403182.33900002,total,aggm
AT,2019-08-09,119038693.437,total,aggm
AT,2019-08-10,122653387.697,total,aggm
AT,2019-08-11,167493434.197,total,aggm
AT,2019-08-12,169498185.57999998,total,aggm
AT,2019-08-13,159938775.498,total,aggm
AT,2019-08-14,109384512.0,total,aggm
AT,2019-08-15,148982892.875,total,aggm
AT,2019-08-16,123491663.955,total,aggm
AT,2019-08-17,123669487.057,total,aggm
AT,2019-08-18,200742871.96,total,aggm
AT,2019-08-19,185679013.049,total,aggm
AT,2019-08-20,185079028.222,total,aggm
AT,2019-08-21,201035784.16599998,total,aggm
AT,2019-08-22,181832354.14699998,total,aggm
AT,2019-08-23,170138269.488,total,aggm
AT,2019-08-24,146711362.11200002,total,aggm
AT,2019-08-25,220695472.068,total,aggm
AT,2019-08-26,231815509.242,total,aggm
AT,2019-08-27,237953118.72399998,total,aggm
AT,2019-08-28,221113418.84899998,total,aggm
AT,2019-08-29,210025026.547,total,aggm
AT,2019-08-30,158761889.772,total,aggm
AT,2019-08-31,162355948.442,total,aggm
