Date;Area;Total_consumption;Consumption_industrial_customers_except_HMS;Consumption_public_distribution;Consumption_HMS_customers;Consumption_PIRR;Forecast_estimated_on_D-5_Forecast_GRTgaz_total;Forecast_estimated_on_D-4_Forecast_GRTgaz_total;Forecast_estimated_on_D-3_Forecast_GRTgaz_total;Forecast_estimated_on_D-2_Forecast_GRTgaz_total;Forecast_estimated_on_D-1_before_5PM_Forecast_GRTgaz_total;Forecast_estimated_on_D-1_after_5PM_Forecast_GRTgaz_total;Forecast_estimated_on_D_before_3PM_Forecast_GRTgaz_total;Forecast_estimated_on_D_after_3PM_Forecast_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Forecast_estimated_on_D-5_public_distribution;Forecast_estimated_on_D-4_public_distribution;Forecast_estimated_on_D-3_public_distribution;Forecast_estimated_on_D-2_public_distribution;Forecast_estimated_on_D-1_before_5PM_public_distribution;Forecast_estimated_on_D-1_after_5PM_public_distribution;Forecast_estimated_on_D_before_3PM_public_distribution;Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Forecast_estimated_on_D-5_PIRR;Forecast_estimated_on_D-4_PIRR;Forecast_estimated_on_D-3_PIRR;Forecast_estimated_on_D-2_PIRR;Forecast_estimated_on_D-1_before_5PM_PIRR;Forecast_estimated_on_D-1_after_5PM_PIRR;Forecast_estimated_on_D_before_3PM_PIRR;Forecast_estimated_on_D_after_3PM_PIRR;Forecast_shippers_D-1_02PM;Forecast_shippers_D-1_04PM;Forecast_shippers_D-1_06PM;Forecast_shippers_D-1_08PM;Forecast_shippers_D-1_09PM;Forecast_shippers_D-1_10PM;Forecast_shippers_D-1_11PM;Forecast_shippers_D-1_00AM;Forecast_shippers_D-1_01AM;Forecast_shippers_D-1_02AM;Forecast_shippers_D-1_03AM;Forecast_shippers_D_04AM;Forecast_shippers_D_05AM;Forecast_shippers_D_06AM;Forecast_shippers_D_07AM;Forecast_shippers_D_08AM;Forecast_shippers_D_09AM;Forecast_shippers_D_10AM;Forecast_shippers_D_11AM;Forecast_shippers_D_12PM;Forecast_shippers_D_13PM;Forecast_shippers_D_02PM;Forecast_shippers_D_03PM;Forecast_shippers_D_04PM;Forecast_shippers_D_05PM;Forecast_shippers_D_06PM;Forecast_shippers_D_07PM;Forecast_shippers_D_08PM;Forecast_shippers_D_09PM;Forecast_shippers_D_10PM;Forecast_shippers_D_11PM;Forecast_shippers_D_12AM;Forecast_shippers_D_01AM;Forecast_shippers_D_02AM;Forecast_shippers_D_03AM;Average_temperature
23/01/2013;"All areas";1784697679;378282898;1282406888;112560941;11446952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1745196298;1768417085;1798661073;1841962074;1841962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1832962074;1831625728;1808470598;1807806498;1807799498;1812399498;1809933391;1830455122;1833743855;1832580141;1832575281;1830673935;1830673935;1830673935;1829592690;1829592690;1830001841;1830001841;1830001841;-0
18/06/2013;"All areas";175457013;95642256;75971443;3752597;90717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184605154;184798144;186356528;184698271;184698271;184698271;184698271;183824835;183824835;184074835;184074835;184074835;184074835;184074835;184074835;184074835;184074835;184074835;184074835;182624835;182417223;170507647;170675869;170275869;170360242;169555526;168536798;168536798;168536798;168551933;168551933;168912751;168912751;168912751;168912752;28.1
14/01/2013;"All areas";1755532756;390581796;1308544957;47791608;8614395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1775102537;1768674429;1760842408;1760776011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772276011;1772648960;1772699892;1772699892;1772699892;1765705287;1771989854;1737122058;1739847062;1740214011;1740288509;1745945781;1741241259;1741814839;1741814839;1742314839;1742314839;1742710314;1744637173;1744137173;-0.6
25/05/2013;"All areas";308904309;96750100;204523316;4228528;3402365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280758206;289813237;292163499;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;295027491;294856591;304470050;303961993;303063895;303063895;301209547;301246706;301246708;302249275;302607834;302594834;302089433;302089433;302089433;8.3
26/02/2013;"All areas";1800031646;380290461;1274939549;131805865;12995771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1595837667;1712680130;1750567832;1788765382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1788753382;1789082044;1789034668;1787265103;1788220879;1788620879;1789188094;1788940272;1795920794;1796117658;1788611975;1790208853;1790208853;1790449488;1790449488;1790408205;1791153394;1790248957;1790248957;2.9
04/02/2013;"All areas";1343122713;336363409;968414735;27260926;11083643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1350696054;1356333572;1395539108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1395552108;1397232108;1397355939;1397355939;1397390220;1398390220;1396564920;1382309798;1386023271;1386013417;1389650649;1390202153;1393708003;1390910545;1390850545;1385570545;1385680545;1385944474;1385944474;1385944474;8.6
25/03/2013;"All areas";1494556664;345119663;1075367656;65056026;9013319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500963544;1469654672;1467096558;1507893342;1507893342;1507893342;1507893342;1507300987;1537300987;1537300987;1537300987;1537300987;1537300987;1537300987;1537300987;1537300987;1537300987;1546085271;1546081857;1544981857;1544228175;1543282431;1532978603;1536315322;1521808473;1507051531;1527153103;1526996235;1517003393;1517003393;1516333393;1517215393;1519502888;1519502888;1519529983;3
16/09/2013;"All areas";201538579;103771164;97675702;;91713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186469298;186489928;186489928;186573604;186588604;186588604;187953164;187953164;187953164;187953164;187953164;187953164;187953164;187953164;187953164;187953164;187953164;187953164;200159776;200041692;200068309;201926099;203018959;203049201;203093728;209920745;210672038;210050430;210050430;210050430;189765495;189798343;189810638;189810638;189810638;13.9
25/10/2013;"All areas";220189664;101493568;118559364;29056;107676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227938148;229905753;226977468;230289510;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;230390196;231844119;231844119;231839119;230197386;229945762;230687393;230687393;230080556;231431979;231820588;231820991;231440752;231440752;231568196;231611680;231611680;231611680;231611680;19.6
10/08/2013;"All areas";115276068;75467062;39737962;8416;62628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90111530;90026509;92592237;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;112714664;113714664;113714664;114027006;114026995;117863962;117863962;117896146;117492452;117492452;117492452;117492452;116856482;116856482;116856482;21
