Date;Area;Total_delivered_quantity;Consumption_industrial_customers_except_HMS;Delivered_quantity_public_distribution;Consumption_HMS_customers;Delivered_quantity_PIRR;Delivery_Forecast_estimated_on_D-5_GRTgaz_total;Delivery_Forecast_estimated_on_D-4_GRTgaz_total;Delivery_Forecast_estimated_on_D-3_GRTgaz_total;Delivery_Forecast_estimated_on_D-2_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_before_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_after_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_before_3PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_after_3PM_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Delivery_Forecast_estimated_on_D-5_public_distribution;Delivery_Forecast_estimated_on_D-4_public_distribution;Delivery_Forecast_estimated_on_D-3_public_distribution;Delivery_Forecast_estimated_on_D-2_public_distribution;Delivery_Forecast_estimated_on_D-1_before_5PM_public_distribution;Delivery_Forecast_estimated_on_D-1_after_5PM_public_distribution;Delivery_Forecast_estimated_on_D_before_3PM_public_distribution;Delivery_Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Delivery_Forecast_estimated_on_D-5_PIRR;Delivery_Forecast_estimated_on_D-4_PIRR;Delivery_Forecast_estimated_on_D-3_PIRR;Delivery_Forecast_estimated_on_D-2_PIRR;Delivery_Forecast_estimated_on_D-1_before_5PM_PIRR;Delivery_Forecast_estimated_on_D-1_after_5PM_PIRR;Delivery_Forecast_estimated_on_D_before_3PM_PIRR;Delivery_Forecast_estimated_on_D_after_3PM_PIRR;Delivery_Forecast_shippers_D-1_02PM;Delivery_Forecast_shippers_D-1_04PM;Delivery_Forecast_shippers_D-1_06PM;Delivery_Forecast_shippers_D-1_08PM;Delivery_Forecast_shippers_D-1_09PM;Delivery_Forecast_shippers_D-1_10PM;Delivery_Forecast_shippers_D-1_11PM;Delivery_Forecast_shippers_D-1_00AM;Delivery_Forecast_shippers_D-1_01AM;Delivery_Forecast_shippers_D-1_02AM;Delivery_Forecast_shippers_D-1_03AM;Delivery_Forecast_shippers_D_04AM;Delivery_Forecast_shippers_D_05AM;Delivery_Forecast_shippers_D_06AM;Delivery_Forecast_shippers_D_07AM;Delivery_Forecast_shippers_D_08AM;Delivery_Forecast_shippers_D_09AM;Delivery_Forecast_shippers_D_10AM;Delivery_Forecast_shippers_D_11AM;Delivery_Forecast_shippers_D_12PM;Delivery_Forecast_shippers_D_13PM;Delivery_Forecast_shippers_D_02PM;Delivery_Forecast_shippers_D_03PM;Delivery_Forecast_shippers_D_04PM;Delivery_Forecast_shippers_D_05PM;Delivery_Forecast_shippers_D_06PM;Delivery_Forecast_shippers_D_07PM;Delivery_Forecast_shippers_D_08PM;Delivery_Forecast_shippers_D_09PM;Delivery_Forecast_shippers_D_10PM;Delivery_Forecast_shippers_D_11PM;Delivery_Forecast_shippers_D_12AM;Delivery_Forecast_shippers_D_01AM;Delivery_Forecast_shippers_D_02AM;Delivery_Forecast_shippers_D_03AM;Average_temperature
08/12/2014;"All areas";2157470357;502804601;1519912575;127051816;7701365;2426771606;2467762135;2474909943;2484071757;2464862236;2475744360;2394447045;2380917352;529560433;538841509;536394600;533634657;540943667;545715153;549947610;552692423;1771448510;1800202927;1803199829;1800019111;1767202577;1773242768;1696623454;1694318908;102508848;105365892;112434704;128245609;134413154;135244652;133526834;123598006;23253815;23351807;22880810;22172380;22302838;21541787;14349147;10308015;2023622648;2046187546;2040330321;2080064862;2079105854;2079105854;2079105854;2072646081;2072646081;2072646081;2072646081;2072646081;2072646081;2072646081;2072646081;2069722293;2069722293;2070368671;2070256914;2069156158;2068256158;2076281021;2081475746;2085016925;2095521367;2095344091;2100640932;2100663807;2100663807;2100663807;2100663807;2100923419;2100923419;2100923419;2100923419;5
15/06/2014;"All areas";491385279;291895659;196478440;41682;2969498;497467319;514260974;512957026;502853321;516685633;516837045;535864126;537245519;300322985;305778946;306450447;303578098;314030381;314030387;320077738;317772906;194931124;206227073;205133588;197768275;200616012;200616016;213747248;217567579;1223737;1266057;384009;384009;384009;384009;261896;122980;989473;988898;988982;1122939;1655231;1806633;1777244;1782054;449889051;449595447;451164420;453464819;453464819;455014819;455014819;455014857;455014857;455014857;455014857;455014857;455014857;455014857;455014857;455014857;455014857;454464350;454464350;454464350;450104099;450104099;450109181;473613785;473807486;474391150;474391150;472006846;472006846;472006846;472006846;472647110;472817110;472817110;472817110;18.1
04/01/2014;"All areas";1526424743;409726510;1103154270;294497;13249466;1541186915;1558941752;1606436267;1496224815;1477399760;;1490824855;1518855975;428640535;429905246;433065031;426968881;380958508;;400059844;402582286;1104059445;1120446839;1164526232;1061050269;1086379413;;1081360463;1106923998;671255;671255;671255;478755;478755;;478755;411929;7815680;7918412;8173749;7726910;9583084;;8925793;8937762;1291046403;1368575708;1423690560;1453583095;1440121991;1440121991;1440132517;1432432517;1432432517;1432432517;1432432517;1432432517;1432432517;1432432517;1432432517;1432432517;1428632517;1428632517;1430456052;1430456052;1466402703;1467133037;1462866132;1462936128;1466413667;1474937949;1474937949;1473708789;1474475004;1474560632;1474400632;1474400657;1474539242;1474453349;1474453349;9.6
12/10/2014;"All areas";707460003;347660161;354937360;1386128;3476354;778606724;806236636;801486643;801486643;;;;;383112683;388594180;385234569;385234569;;;;;380013537;402596264;390821728;390821728;;;;;9040895;8780490;19063446;19063446;;;;;6439609;6265702;6366900;6366900;;;;;672580286;669097353;671043147;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671249244;671290157;671290157;675026612;675026612;675125541;675622501;675222502;675222488;675543556;672438300;673219468;673093027;676249694;676249694;676249694;676249694;676249694;676249694;676266513;676266513;15.6
10/10/2014;"All areas";816772126;374723240;394339666;45857206;1852014;895337103;912990291;901919270;936061312;941636449;939778624;947718267;;410777859;415537601;411677924;415274121;413085447;413085408;411431210;;416395943;428831068;448223826;468275040;465604693;465604714;474004674;;61117883;61591719;34972102;45439917;57361617;55613940;56807821;;7045418;7029903;7045418;7072234;5584692;5474562;5474562;;686163430;705571053;804106571;822487966;827747710;827747710;827747710;827747710;827747710;827747710;827747710;827747710;827747710;827747710;827747710;827925093;827925093;829652360;828603769;825003769;824224813;823393849;821679355;817035119;818094395;815347429;814863476;824562971;826582971;826582971;826582971;826582971;826882971;823618971;823618971;14.9
25/04/2014;"All areas";839125601;325627739;511716524;152605;1628733;890320579;910932934;964911024;929426656;877592347;877592347;888648096;910084150;363824384;366026094;370667074;367734912;353310492;353310492;352786714;353422277;522566481;540983289;590291331;558147262;520102377;520102377;531257010;552049670;242770;242770;95511;95511;95511;95511;507533;509046;3686944;3680781;3857108;3448971;4083967;4083967;4096839;4103157;675275307;688556361;708087081;797306766;797306766;791033069;791033069;791033069;791033069;791033069;791033069;791033069;791033069;791033069;791033069;791033069;791175569;791561783;791561783;791561783;785574722;785631289;792158948;791977176;792865428;792296635;791050774;791050779;791050779;791050779;791071725;791100933;792068939;792159749;792159749;13.7
03/07/2014;"All areas";574000563;313081507;254017729;1358958;5542369;667919109;661426954;660563981;648618355;684893369;679030284;643484042;630726454;342399684;342249568;340213694;340796274;386345328;380481836;347103606;339592174;303476516;297401318;296374567;297085319;294660820;294660845;291465010;286396424;21073737;20806896;23006548;9243279;899364;899364;1660676;1362137;969172;969172;969172;1493483;2987857;2988239;3254750;3375719;561985198;572128390;584806322;586688562;586688562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584658562;584857214;584902870;583662870;584483160;584229925;582616267;580610106;576552031;577597047;578952683;581048731;581047598;581047598;581397598;581697608;581397556;581397556;581397556;
09/10/2014;"All areas";824055588;376994132;398446905;47231551;1383000;920300977;915327985;936787134;935924000;958625119;957759826;928370820;922394155;414649691;415795762;419194849;420762603;426614826;426710678;416245252;417567382;422661303;425330945;455942114;470726678;486308661;486524352;460203113;454063126;75636401;66484781;53752219;36886603;40398188;39563756;47692509;47168563;7353582;7716497;7897952;7548116;5303444;4961040;4229946;3595084;725638422;739731573;761237745;780154904;788017904;788017904;788017904;788017904;788017904;788017904;788017904;788017904;788017904;788017904;788017904;786936374;786936374;792636353;793891005;793891005;787325452;787726584;804986934;805003024;809361272;804216301;804664581;804698742;818297135;818297135;817997135;817997135;817997135;817997135;817997135;17.9
11/03/2014;"All areas";1360356498;412996944;930966750;852694;15540110;1541883104;1429665869;1493978655;1457524437;1374992020;;1342095550;;444148215;430052863;441166966;441155995;414516257;;421532016;;1055880710;950125673;1010959505;1005600439;949890285;;910235388;;31518053;40061840;31518053;1067225;478755;;478755;;10336126;9425493;10334131;9700778;10106723;;9849391;;1282606015;1356594936;1354946006;1353981108;1353981108;1353981108;1353981108;1353981108;1338222372;1339972372;1339972372;1339972372;1339972372;1339972372;1339972372;1339972372;1339972372;1333525034;1333517411;1333517411;1337438996;1337192084;1337192084;1332952188;1329816836;1323422839;1322519044;1322519044;1322519044;1322856464;1322864922;1324126691;1324126691;1324126691;1324126691;10
30/04/2014;"All areas";865054991;313783094;545717810;343523;5210564;866755753;902705998;956068217;898736793;995743897;977500353;995223279;977430545;347904669;349020179;350206340;336311447;362042283;353577137;352964230;350778389;513151126;547844832;599065065;555872502;627580552;618085383;636318932;620777648;1357264;1357264;1357264;1240457;834365;480000;509813;417888;4342694;4483723;5439548;5312387;5286697;5357833;5430304;5456620;830055591;840024939;;843068423;843061458;843059638;843059638;834183712;843262368;843262368;843262368;843262368;843262368;843262368;843203712;844376408;903871487;902792844;902792844;902792844;902792844;903662494;902511132;896982653;896059216;899821144;900858382;900984214;900984214;902423405;902423405;902431495;902332140;902332140;902332140;13.2
