Date;Area;Total_delivered_quantity;Consumption_industrial_customers_except_HMS;Delivered_quantity_public_distribution;Consumption_HMS_customers;Delivered_quantity_PIRR;Delivery_Forecast_estimated_on_D-5_GRTgaz_total;Delivery_Forecast_estimated_on_D-4_GRTgaz_total;Delivery_Forecast_estimated_on_D-3_GRTgaz_total;Delivery_Forecast_estimated_on_D-2_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_before_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_after_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_before_3PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_after_3PM_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Delivery_Forecast_estimated_on_D-5_public_distribution;Delivery_Forecast_estimated_on_D-4_public_distribution;Delivery_Forecast_estimated_on_D-3_public_distribution;Delivery_Forecast_estimated_on_D-2_public_distribution;Delivery_Forecast_estimated_on_D-1_before_5PM_public_distribution;Delivery_Forecast_estimated_on_D-1_after_5PM_public_distribution;Delivery_Forecast_estimated_on_D_before_3PM_public_distribution;Delivery_Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Delivery_Forecast_estimated_on_D-5_PIRR;Delivery_Forecast_estimated_on_D-4_PIRR;Delivery_Forecast_estimated_on_D-3_PIRR;Delivery_Forecast_estimated_on_D-2_PIRR;Delivery_Forecast_estimated_on_D-1_before_5PM_PIRR;Delivery_Forecast_estimated_on_D-1_after_5PM_PIRR;Delivery_Forecast_estimated_on_D_before_3PM_PIRR;Delivery_Forecast_estimated_on_D_after_3PM_PIRR;Delivery_Forecast_shippers_D-1_02PM;Delivery_Forecast_shippers_D-1_04PM;Delivery_Forecast_shippers_D-1_06PM;Delivery_Forecast_shippers_D-1_08PM;Delivery_Forecast_shippers_D-1_09PM;Delivery_Forecast_shippers_D-1_10PM;Delivery_Forecast_shippers_D-1_11PM;Delivery_Forecast_shippers_D-1_00AM;Delivery_Forecast_shippers_D-1_01AM;Delivery_Forecast_shippers_D-1_02AM;Delivery_Forecast_shippers_D-1_03AM;Delivery_Forecast_shippers_D_04AM;Delivery_Forecast_shippers_D_05AM;Delivery_Forecast_shippers_D_06AM;Delivery_Forecast_shippers_D_07AM;Delivery_Forecast_shippers_D_08AM;Delivery_Forecast_shippers_D_09AM;Delivery_Forecast_shippers_D_10AM;Delivery_Forecast_shippers_D_11AM;Delivery_Forecast_shippers_D_12PM;Delivery_Forecast_shippers_D_13PM;Delivery_Forecast_shippers_D_02PM;Delivery_Forecast_shippers_D_03PM;Delivery_Forecast_shippers_D_04PM;Delivery_Forecast_shippers_D_05PM;Delivery_Forecast_shippers_D_06PM;Delivery_Forecast_shippers_D_07PM;Delivery_Forecast_shippers_D_08PM;Delivery_Forecast_shippers_D_09PM;Delivery_Forecast_shippers_D_10PM;Delivery_Forecast_shippers_D_11PM;Delivery_Forecast_shippers_D_12AM;Delivery_Forecast_shippers_D_01AM;Delivery_Forecast_shippers_D_02AM;Delivery_Forecast_shippers_D_03AM;Average_temperature
01/01/2023;"North L";;;;;;108959847;81390708;78745938;78958893;77704493;74387033;71663484;70692514;32674192;22050129;20420526;19410575;19191079;18808017;16449077;16380183;76285655;59340579;58325412;59548318;58513414;55579016;55214407;54312331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2023;"North L";;;;;;108725518;106422986;106325640;101867755;96665756;91679206;93826270;95400319;24351939;23012270;20945095;21969512;20743620;20046997;19155292;18969972;84373579;83410716;85380545;79898243;75922136;71632209;74670978;76430347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2023;"North L";;;;;;122625550;118285202;113446645;106523241;101624458;103301556;106750079;108719431;24652240;23380971;23525628;24059504;21261841;21620465;21166075;21048747;97973310;94904231;89921017;82463737;80362617;81681091;85584004;87670684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2023;"North L";;;;;;114972791;107749615;102665165;95899908;93323007;100387581;94661190;96762191;25068605;24737843;23916558;21726868;21215862;21588246;20765810;21177750;89904186;83011772;78748607;74173040;72107145;78799335;73895380;75584441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2023;"North L";;;;;;106328296;107888288;96676765;98790768;99351039;98221335;93462971;92891872;25769363;25599929;21986401;22006505;21747662;22132636;21197481;21544616;80558933;82288359;74690364;76784263;77603377;76088699;72265490;71347256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2023;"North L";;;;;;116853072;105011548;101601900;101936617;94459973;93303172;93966529;92638654;25814738;22303718;22209975;22523131;21162097;21816023;21828933;22043638;91038334;82707830;79391925;79413486;73297876;71487149;72137596;70595016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2023;"North L";;;;;;102888933;99606909;101777914;97527630;97071189;94315914;90156753;89623975;21101399;20845790;21255585;21163386;21225092;21524621;19649931;19452394;81787534;78761119;80522329;76364244;75846097;72791293;70506822;70171581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2023;"North L";;;;;;108600972;106135691;104014422;101365617;97531010;95644234;97337114;96845654;20413091;20174787;20711615;21284927;19621208;19728407;19888051;19986368;88187881;85960904;83302807;80080690;77909802;75915827;77449063;76859286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2023;"North L";;;;;;119860093;120859407;120177424;120970687;113876708;112098233;119311625;119880362;22197132;22939675;23183664;23669033;22696056;22558978;22931273;22994640;97662961;97919732;96993760;97301654;91180652;89539255;96380352;96885722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2023;"North L";;;;;;114071049;109862867;113414150;109952431;112368013;117852184;123220604;122638506;22171345;22955433;23048140;22702194;23323162;23962942;23753664;23319407;91899704;86907434;90366010;87250237;89044851;93889242;99466940;99319099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2023;"North L";;;;;;110684158;114482752;113585122;113119409;109753929;112493938;107040740;106492861;22584720;23577763;22734459;24097519;22985127;23113502;22994399;22982613;88099438;90904989;90850663;89021890;86768802;89380436;84046341;83510248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2023;"North L";;;;;;108826337;109660977;109111923;108983422;107359497;106802540;107052380;105109914;22643736;22241747;23478385;23245687;23427790;23846766;22831759;22248064;86182601;87419230;85633538;85737735;83931707;82955774;84220621;82861850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2023;"North L";;;;;;106524928;108379822;109098116;111823416;107994565;106686827;107761412;108794398;21972690;23413206;22791269;23907464;22895447;22624920;23307924;22251789;84552238;84966616;86306847;87915952;85099118;84061907;84453488;86542609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2023;"North L";;;;;;103048622;100547086;105769952;100139045;98145742;98823427;101305556;97665006;21700922;20694168;21409034;20800794;20619077;20761083;19744639;18972648;81347700;79852918;84360918;79338251;77526665;78062344;81560917;78692358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2023;"North L";;;;;;113583003;118678568;111972319;115501010;113833658;106813927;114678624;111150430;21443309;22504550;19812791;21848234;19460100;18869847;19943067;19309319;92139694;96174018;92159528;93652776;94373558;87944080;94735557;91841111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/2023;"North L";;;;;;141649663;137517934;142063806;138242390;135272318;129658492;136454181;135507193;25528603;23681073;23782354;21636672;22559184;21994385;22707834;21857601;116121060;113836861;118281452;116605718;112713134;107664107;113746347;113649592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
