Date;Area;Total_delivered_quantity;Consumption_industrial_customers_except_HMS;Delivered_quantity_public_distribution;Consumption_HMS_customers;Delivered_quantity_PIRR;Delivery_Forecast_estimated_on_D-5_GRTgaz_total;Delivery_Forecast_estimated_on_D-4_GRTgaz_total;Delivery_Forecast_estimated_on_D-3_GRTgaz_total;Delivery_Forecast_estimated_on_D-2_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_before_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_after_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_before_3PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_after_3PM_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Delivery_Forecast_estimated_on_D-5_public_distribution;Delivery_Forecast_estimated_on_D-4_public_distribution;Delivery_Forecast_estimated_on_D-3_public_distribution;Delivery_Forecast_estimated_on_D-2_public_distribution;Delivery_Forecast_estimated_on_D-1_before_5PM_public_distribution;Delivery_Forecast_estimated_on_D-1_after_5PM_public_distribution;Delivery_Forecast_estimated_on_D_before_3PM_public_distribution;Delivery_Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Delivery_Forecast_estimated_on_D-5_PIRR;Delivery_Forecast_estimated_on_D-4_PIRR;Delivery_Forecast_estimated_on_D-3_PIRR;Delivery_Forecast_estimated_on_D-2_PIRR;Delivery_Forecast_estimated_on_D-1_before_5PM_PIRR;Delivery_Forecast_estimated_on_D-1_after_5PM_PIRR;Delivery_Forecast_estimated_on_D_before_3PM_PIRR;Delivery_Forecast_estimated_on_D_after_3PM_PIRR;Delivery_Forecast_shippers_D-1_02PM;Delivery_Forecast_shippers_D-1_04PM;Delivery_Forecast_shippers_D-1_06PM;Delivery_Forecast_shippers_D-1_08PM;Delivery_Forecast_shippers_D-1_09PM;Delivery_Forecast_shippers_D-1_10PM;Delivery_Forecast_shippers_D-1_11PM;Delivery_Forecast_shippers_D-1_00AM;Delivery_Forecast_shippers_D-1_01AM;Delivery_Forecast_shippers_D-1_02AM;Delivery_Forecast_shippers_D-1_03AM;Delivery_Forecast_shippers_D_04AM;Delivery_Forecast_shippers_D_05AM;Delivery_Forecast_shippers_D_06AM;Delivery_Forecast_shippers_D_07AM;Delivery_Forecast_shippers_D_08AM;Delivery_Forecast_shippers_D_09AM;Delivery_Forecast_shippers_D_10AM;Delivery_Forecast_shippers_D_11AM;Delivery_Forecast_shippers_D_12PM;Delivery_Forecast_shippers_D_13PM;Delivery_Forecast_shippers_D_02PM;Delivery_Forecast_shippers_D_03PM;Delivery_Forecast_shippers_D_04PM;Delivery_Forecast_shippers_D_05PM;Delivery_Forecast_shippers_D_06PM;Delivery_Forecast_shippers_D_07PM;Delivery_Forecast_shippers_D_08PM;Delivery_Forecast_shippers_D_09PM;Delivery_Forecast_shippers_D_10PM;Delivery_Forecast_shippers_D_11PM;Delivery_Forecast_shippers_D_12AM;Delivery_Forecast_shippers_D_01AM;Delivery_Forecast_shippers_D_02AM;Delivery_Forecast_shippers_D_03AM;Average_temperature
06/05/2017;"All areas";882524042;314612483;548624536;16249923;3037100;848276146;859402409;892001711;977264772;970479074;923881460;942888853;970664892;334521969;332260123;346860249;354380131;345948014;338431514;345634691;343426759;449981829;465064346;512638834;558083360;586236873;558554071;578310562;608372019;57711398;54946795;25835521;57929361;36389862;24527893;16603030;16507072;6060950;7131145;6667107;6871920;1904325;2367982;2340570;2359042;702445012;789557046;826952840;835982438;835175305;832987914;832987914;832987914;832987914;832987914;832987914;832987914;834189902;834189902;834189902;834189902;834189902;838436601;838615136;838980302;835935740;832890247;833026608;834888260;834897181;839133872;838949436;841232884;836306253;836341896;836341896;836341896;836341896;836406574;836406574;
21/11/2017;"All areas";1908529061;494242385;1167634596;241745263;4906817;2130107443;2200649082;2049772780;2037180758;2152585536;2125476166;2088420116;2119435599;521982307;530656300;526705027;534922779;558901251;551217457;539427208;537241662;1319633311;1389233458;1324947335;1286111152;1346684741;1335623507;1299897231;1324744917;268108394;260661919;177689502;195628998;229485871;221049849;231440991;239789500;20383431;20097405;20430916;20517829;17513673;17585353;17654686;17659520;1736663064;1758064538;1832338643;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1908569295;1911512641;1911512641;1915564023;1917855520;1913758739;1915320449;1913995739;1906063990;1907847537;1908685595;1919644854;1921583010;1921838243;1921838243;1921757437;1921320994;1919888679;1919888679;1919888679;1919888679;
22/07/2017;"All areas";490167537;268967997;163128105;56131764;1939671;619037186;616803057;552452144;536788943;531088913;538154176;536270191;527743149;303285265;300322397;298734542;297448374;290824043;296085243;292947254;292195734;171896982;172625721;176601008;179436860;176200561;178149373;178304398;178263952;143012151;143012151;76273806;59060921;62939975;62793980;63893238;56146190;842788;842788;842788;842788;1124334;1125580;1125301;1137273;429471473;432211439;445481811;483649437;483649437;483503445;483503445;483503445;483503445;483503445;483503445;483503445;483503445;483503445;483503445;483539720;483539720;483379343;484191235;484191235;487292075;487292065;487277982;486263428;487731248;488143871;488301053;488301053;488195986;488195986;488695986;488739674;488739674;488739674;488739674;
11/07/2017;"All areas";685269058;302799822;242769562;138736363;963311;734013847;733685701;731050901;732966347;734383193;736112050;727543290;728664971;342548763;339066743;343018790;347257959;342639597;336523956;322107837;328439272;271333653;274487527;276295122;274147737;266710996;271288539;274588184;270572304;118082446;118082446;109688004;109511666;124097553;127360144;129903319;128691311;2048985;2048985;2048985;2048985;935047;939411;943950;962084;592631555;632354515;616968902;685417794;685417794;685417794;686964348;687341298;685661298;685661298;685661298;685661298;685661298;685656218;685656218;685658393;685658393;685801139;685791642;685791645;675157843;678616657;679508013;683508013;684711403;683747160;682336441;683037009;682212118;682212118;683601076;683601076;683601076;683601076;683601076;
03/07/2017;"All areas";711581772;302437411;255739824;152612927;791610;788088455;801163921;733866531;758449087;793686791;782825431;752742427;767815070;319956231;328986278;328548700;325592877;343713257;337922952;328455024;331331477;300134180;304595956;302695218;297337326;307410887;310268518;290490763;284424861;166956203;165638884;101073980;133773166;140941065;132843208;132250004;150541079;1041841;1942803;1548633;1745718;1621582;1790753;1546636;1517653;615825595;616402466;636887027;683016472;683596912;683837992;683837992;683879837;683879837;683879837;683879837;683879837;;;683879837;685656072;683276913;682677825;682678871;683000420;695348980;695600271;698541407;699063642;693917312;697521404;701970743;706728366;709404700;709405617;709405617;709405617;718525617;718656209;718634887;
10/01/2017;"All areas";2246252587;460424128;1550586381;232727271;2514807;2651325146;2617037319;2759541430;2738691614;2579267923;2525839932;2483567375;2439993312;568747361;565297865;574086302;557890817;530688816;524147887;507128339;503770046;1877084671;1842778487;1922373321;1875064300;1771414011;1757052749;1719397980;1688149539;182161573;184981981;239374804;282252275;253740449;226042412;238322801;229219379;23331541;23978986;23707003;23484222;23424647;18596884;18718255;18854348;1939694521;2095023369;2128066688;2304908491;2306522514;2306522514;2306522514;2306522514;2306522514;2306522514;2308453029;2308453029;2308453029;2308196722;2308196722;2303722890;2303722890;2296979134;2296284231;2291715088;2275763234;2275762748;2272772933;2277486753;2276824348;2274525437;2254038908;2254038908;2254436896;2254436896;2254436896;2254436896;2253554726;2253556648;2253559948;
06/03/2017;"All areas";1930232916;412155528;1298131493;216442715;3503180;2052650587;2056798435;2006223121;2006174349;2119217744;2116685662;2090801926;2100316372;478575914;475168995;474619465;452475272;475187764;471593720;459809491;452081240;1412416910;1415994136;1409777402;1372362912;1425316775;1427544109;1419467424;1431349322;144044400;147621789;104041061;163381833;212594982;204039618;198097454;203603785;17613363;18013515;17785193;17954332;6118223;13508215;13427557;13282025;1747080288;1834251155;1838653869;1837522358;1837522358;1837522358;1841539776;1841539776;1840396424;1840396424;1841437501;1841437501;1841437501;1841437501;1841437501;1831583231;1841760676;1839188299;1838789439;1837853539;1871085322;1883862604;1899423886;1901445842;1909755355;1917577304;1927953340;1926947620;1926972415;1926392415;1925589270;1925589270;1925589270;1925589270;;
13/08/2017;"All areas";402062526;248818112;151365268;116732;1762414;528910455;529320421;449463438;446522682;447659117;450584862;448903727;446424062;251980987;251980982;263541254;263541249;263963122;266303301;267170701;266321588;158064959;158065543;165983008;165979448;175789075;176611283;174219441;174277935;117251167;117251167;17934245;15032653;6008786;5632811;5401963;3670841;1613342;2022729;2004931;1969332;1898134;2037467;2111622;2153698;389392302;388303145;407968712;408593600;408593600;408593600;407670600;407670538;407670538;407670538;407670538;407670538;407670538;407670538;407670538;407685378;408702378;408702378;409603649;409612495;409612495;412290317;415072937;416310628;416349881;416352325;416082033;416087913;417242340;417627148;417627148;417626896;417626896;417626896;417626896;
30/03/2017;"All areas";1108654446;354689913;577235343;173862148;2867042;1371390459;1351097097;1315298941;1343699534;1363574938;1309213592;1276234983;1236498716;419168203;409735975;409735990;413967169;411057469;404343256;395200975;391660269;793893173;775698737;775153666;738641231;742511794;696901094;673206498;649095939;150608263;157997597;122704207;183194651;206986217;204483927;204306532;192220096;7720820;7664788;7705078;7896483;3019458;3485315;3520978;3522412;900847174;997242166;1010247925;1145181087;1145181087;1145181087;1146856937;1146856937;1145856937;1145856937;1148351877;1148351877;1148351877;1148351877;1148351877;1146413957;1146413957;1143871173;1143448519;1143948519;1143341835;1141827572;1150948878;1145922385;1141917543;1120542729;1112440415;1109703155;1109703155;1109703155;1109712152;1112962152;1112962152;1112962152;1113035432;
03/12/2017;"All areas";2344560755;502357530;1596684529;234411386;11107310;2512408648;2568880698;2547044422;2647866649;2602979186;2595513191;2604499573;2568616540;497770072;503366964;516708092;525736734;536680724;541139633;541266564;540889993;1733613162;1778169862;1842494225;1896334884;1795396191;1800538350;1818165719;1769061480;257301329;263336556;163758841;202188858;247327428;230505704;222179545;235365057;23724085;24007316;24083264;23606173;23574843;23329504;22887745;23300010;2074950334;2177022968;2190758818;2253803359;2262277047;2262277047;2261971242;2261749242;2303749242;2303749242;2303749242;2303749242;2303749242;2303749242;2301076543;2301076543;2301076543;2317228427;2316673095;2319027534;2284122370;2281922370;2303017514;2314940719;2317059646;2317059646;2317984040;2317641971;2318396592;2318396592;2321899664;2320359285;2320359285;2320359285;2320359285;1
18/10/2017;"All areas";1097270945;390120353;442611107;263245267;1294218;1218193843;1220944294;1210352379;1153314777;1151294749;1145045789;1176499760;1170576238;423179252;425623983;425368336;421846346;415895131;425116777;426977906;424277669;517618937;518515320;498500414;486213699;489258657;473910348;489710133;484087440;268328371;268084844;277467037;236183201;242067650;241934594;255563886;257941307;9067283;8720147;9016592;9071531;4073311;4084070;4247835;4269822;990903147;985637492;996444120;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1097812608;1100379980;1100698971;1101792240;1102841610;1105218811;1105781934;1083474637;1083558863;1084766226;1091584243;1088155314;1086034242;1088896539;1088896539;1091637498;1091270978;1091477381;1091477381;1091477381;1091477381;1091477381;
