Date;Area;Total_delivered_quantity;Consumption_industrial_customers_except_HMS;Delivered_quantity_public_distribution;Consumption_HMS_customers;Delivered_quantity_PIRR;Delivery_Forecast_estimated_on_D-5_GRTgaz_total;Delivery_Forecast_estimated_on_D-4_GRTgaz_total;Delivery_Forecast_estimated_on_D-3_GRTgaz_total;Delivery_Forecast_estimated_on_D-2_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_before_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_after_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_before_3PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_after_3PM_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Delivery_Forecast_estimated_on_D-5_public_distribution;Delivery_Forecast_estimated_on_D-4_public_distribution;Delivery_Forecast_estimated_on_D-3_public_distribution;Delivery_Forecast_estimated_on_D-2_public_distribution;Delivery_Forecast_estimated_on_D-1_before_5PM_public_distribution;Delivery_Forecast_estimated_on_D-1_after_5PM_public_distribution;Delivery_Forecast_estimated_on_D_before_3PM_public_distribution;Delivery_Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Delivery_Forecast_estimated_on_D-5_PIRR;Delivery_Forecast_estimated_on_D-4_PIRR;Delivery_Forecast_estimated_on_D-3_PIRR;Delivery_Forecast_estimated_on_D-2_PIRR;Delivery_Forecast_estimated_on_D-1_before_5PM_PIRR;Delivery_Forecast_estimated_on_D-1_after_5PM_PIRR;Delivery_Forecast_estimated_on_D_before_3PM_PIRR;Delivery_Forecast_estimated_on_D_after_3PM_PIRR;Delivery_Forecast_shippers_D-1_02PM;Delivery_Forecast_shippers_D-1_04PM;Delivery_Forecast_shippers_D-1_06PM;Delivery_Forecast_shippers_D-1_08PM;Delivery_Forecast_shippers_D-1_09PM;Delivery_Forecast_shippers_D-1_10PM;Delivery_Forecast_shippers_D-1_11PM;Delivery_Forecast_shippers_D-1_00AM;Delivery_Forecast_shippers_D-1_01AM;Delivery_Forecast_shippers_D-1_02AM;Delivery_Forecast_shippers_D-1_03AM;Delivery_Forecast_shippers_D_04AM;Delivery_Forecast_shippers_D_05AM;Delivery_Forecast_shippers_D_06AM;Delivery_Forecast_shippers_D_07AM;Delivery_Forecast_shippers_D_08AM;Delivery_Forecast_shippers_D_09AM;Delivery_Forecast_shippers_D_10AM;Delivery_Forecast_shippers_D_11AM;Delivery_Forecast_shippers_D_12PM;Delivery_Forecast_shippers_D_13PM;Delivery_Forecast_shippers_D_02PM;Delivery_Forecast_shippers_D_03PM;Delivery_Forecast_shippers_D_04PM;Delivery_Forecast_shippers_D_05PM;Delivery_Forecast_shippers_D_06PM;Delivery_Forecast_shippers_D_07PM;Delivery_Forecast_shippers_D_08PM;Delivery_Forecast_shippers_D_09PM;Delivery_Forecast_shippers_D_10PM;Delivery_Forecast_shippers_D_11PM;Delivery_Forecast_shippers_D_12AM;Delivery_Forecast_shippers_D_01AM;Delivery_Forecast_shippers_D_02AM;Delivery_Forecast_shippers_D_03AM;Average_temperature
01/01/2019;"North L";;;;;;188643418;188413699;179762077;170012164;166238636;161312923;154462665;158357030;37090575;37098543;36678235;38046368;35527237;35502979;35925289;36598146;151552843;151315156;143083842;131965796;130711399;125809944;118537376;121758884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2019;"North L";;;;;;209134528;203472116;200522396;196134735;185277510;182976414;186043909;186466175;43074091;42829982;43667304;42838438;38804992;38776723;39636959;40726356;166060437;160642134;156855092;153296297;146472518;144199691;146406950;145739819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2019;"North L";;;;;;225030715;217961211;211545301;206573992;200633831;203484801;200167229;202207752;43400925;44204571;43067841;41244245;40424881;40831883;42467692;43551966;181629790;173756640;168477460;165329747;160208950;162652918;157699537;158655786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2019;"North L";;;;;;224770601;218873464;214655698;217128250;211211896;207991021;204994546;207155869;44399285;43819316;41880347;41728797;42318594;42486965;40632920;42872333;180371316;175054148;172775351;175399453;168893302;165504056;164361626;164283536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2019;"North L";;;;;;193972281;193754782;201617105;201617104;195144336;195829894;192425072;190290559;40054830;38768069;38792587;38792591;39064475;40145949;40386456;40483769;153917451;154986713;162824518;162824513;156079861;155683945;152038616;149806790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2019;"North L";;;;;;191393147;195504481;195504487;201022624;193271202;192775633;186457647;180931573;39869588;39961996;39961994;41855006;40360027;40312608;39440676;39377275;151523559;155542485;155542493;159167618;152911175;152463025;147016971;141554298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2019;"North L";;;;;;211992014;211992014;201519844;202864182;199443530;195973586;182909798;184592596;42489040;42489041;43586542;43662856;44255626;44284434;42799926;43353511;169502974;169502973;157933302;159201326;155187904;151689152;140109872;141239085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2019;"North L";;;;;;207095857;203977432;198239257;195049541;194507209;191657082;188594322;194708894;41632063;42877414;42993005;42869369;43598040;43517091;45828970;46550772;165463794;161100018;155246252;152180172;150909169;148139991;142765352;148158122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2019;"North L";;;;;;213223310;220120955;217820742;214088163;205033239;210544466;213865091;215396443;44967460;45943426;45377246;45379654;43746913;46412505;47570514;48046605;168255850;174177529;172443496;168708509;161286326;164131961;166294577;167349838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2019;"North L";;;;;;235157492;232169958;233399888;228694110;224491800;224946030;224087261;223591397;47944679;47277130;47152293;47179349;47356224;47245945;48495687;49642616;187212813;184892828;186247595;181514761;177135576;177700085;175591574;173948781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2019;"North L";;;;;;220354219;218152563;211649289;215805374;204031892;205938693;201081466;196203302;44994604;44913362;45036943;45479474;43874653;46863695;47962782;47312447;175359615;173239201;166612346;170325900;160157239;159074998;153118684;148890855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
