Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
30/06/2023 01:00:00,30/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",33302639,03/07/2023 14:01:00,A
30/06/2023 01:00:00,30/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",525458355,05/07/2023 12:01:01,A
30/06/2023 01:00:00,30/06/2023,"NTS Energy Offtaken, Powerstations Total",302942147,04/07/2023 14:01:00,A
29/06/2023 01:00:00,29/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",50972619,03/07/2023 12:01:00,A
29/06/2023 01:00:00,29/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",541307660,04/07/2023 16:01:00,A
29/06/2023 01:00:00,29/06/2023,"NTS Energy Offtaken, Powerstations Total",487368675,04/07/2023 12:01:01,A
28/06/2023 01:00:00,28/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",55550584,29/06/2023 15:01:01,A
28/06/2023 01:00:00,28/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",553060129,03/07/2023 16:01:00,A
28/06/2023 01:00:00,28/06/2023,"NTS Energy Offtaken, Powerstations Total",576742287,30/06/2023 11:30:00,
27/06/2023 01:00:00,27/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",37067898,28/06/2023 12:01:01,L
27/06/2023 01:00:00,27/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",531792266,30/06/2023 16:01:00,A
27/06/2023 01:00:00,27/06/2023,"NTS Energy Offtaken, Powerstations Total",512847274,29/06/2023 17:01:01,A
26/06/2023 01:00:00,26/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",37042055,27/06/2023 14:01:00,A
26/06/2023 01:00:00,26/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",523265265,29/06/2023 17:01:01,A
26/06/2023 01:00:00,26/06/2023,"NTS Energy Offtaken, Powerstations Total",358446586,29/06/2023 17:01:01,A
25/06/2023 01:00:00,25/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",36577355,26/06/2023 16:01:01,A
25/06/2023 01:00:00,25/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",485089297,28/06/2023 12:01:01,A
25/06/2023 01:00:00,25/06/2023,"NTS Energy Offtaken, Powerstations Total",257462402,27/06/2023 12:01:00,A
24/06/2023 01:00:00,24/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",35522108,25/06/2023 12:01:00,L
24/06/2023 01:00:00,24/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",449002307,28/06/2023 12:01:01,A
24/06/2023 01:00:00,24/06/2023,"NTS Energy Offtaken, Powerstations Total",283224553,26/06/2023 16:01:01,A
23/06/2023 01:00:00,23/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",48695221,25/06/2023 12:01:00,A
23/06/2023 01:00:00,23/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",505653141,28/06/2023 16:01:00,A
23/06/2023 01:00:00,23/06/2023,"NTS Energy Offtaken, Powerstations Total",471637462,26/06/2023 16:01:01,A
22/06/2023 01:00:00,22/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",54033820,24/06/2023 12:01:01,A
22/06/2023 01:00:00,22/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",517149150,27/06/2023 16:01:01,A
22/06/2023 01:00:00,22/06/2023,"NTS Energy Offtaken, Powerstations Total",631604901,26/06/2023 16:01:01,A
21/06/2023 01:00:00,21/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",54617246,22/06/2023 16:01:00,A
21/06/2023 01:00:00,21/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",535361612,24/06/2023 12:01:01,A
21/06/2023 01:00:00,21/06/2023,"NTS Energy Offtaken, Powerstations Total",655378192,27/06/2023 10:01:01,A
20/06/2023 01:00:00,20/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",52073046,23/06/2023 14:01:01,A
20/06/2023 01:00:00,20/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",558266586,22/06/2023 16:01:00,A
20/06/2023 01:00:00,20/06/2023,"NTS Energy Offtaken, Powerstations Total",648636361,22/06/2023 14:01:01,A
19/06/2023 01:00:00,19/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",46692840,20/06/2023 12:01:00,L
19/06/2023 01:00:00,19/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",489039937,21/06/2023 16:01:01,A
19/06/2023 01:00:00,19/06/2023,"NTS Energy Offtaken, Powerstations Total",578594653,22/06/2023 14:01:01,A
18/06/2023 01:00:00,18/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",37663641,19/06/2023 14:01:01,A
18/06/2023 01:00:00,18/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",495607408,21/06/2023 16:01:01,A
18/06/2023 01:00:00,18/06/2023,"NTS Energy Offtaken, Powerstations Total",431074056,19/06/2023 16:01:01,A
17/06/2023 01:00:00,17/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",37118007,18/06/2023 12:01:00,L
17/06/2023 01:00:00,17/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",444486867,21/06/2023 14:01:00,A
17/06/2023 01:00:00,17/06/2023,"NTS Energy Offtaken, Powerstations Total",496394849,19/06/2023 16:01:01,A
16/06/2023 01:00:00,16/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",38487269,17/06/2023 12:01:00,L
16/06/2023 01:00:00,16/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",469507234,21/06/2023 14:01:00,A
16/06/2023 01:00:00,16/06/2023,"NTS Energy Offtaken, Powerstations Total",612929797,19/06/2023 16:01:01,A
15/06/2023 01:00:00,15/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",51653695,16/06/2023 14:01:00,A
15/06/2023 01:00:00,15/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",537270210,20/06/2023 14:01:00,A
15/06/2023 01:00:00,15/06/2023,"NTS Energy Offtaken, Powerstations Total",623323126,19/06/2023 16:01:01,A
14/06/2023 01:00:00,14/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",53026987,15/06/2023 12:01:00,L
14/06/2023 01:00:00,14/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",500825894,19/06/2023 16:01:01,A
14/06/2023 01:00:00,14/06/2023,"NTS Energy Offtaken, Powerstations Total",529021297,15/06/2023 16:01:00,A
13/06/2023 01:00:00,13/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",55021653,15/06/2023 12:01:00,A
13/06/2023 01:00:00,13/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",536087655,17/06/2023 12:01:00,A
13/06/2023 01:00:00,13/06/2023,"NTS Energy Offtaken, Powerstations Total",500404096,15/06/2023 16:01:00,A
12/06/2023 01:00:00,12/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",62462156,13/06/2023 14:01:01,A
12/06/2023 01:00:00,12/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",531888987,17/06/2023 12:01:00,A
12/06/2023 01:00:00,12/06/2023,"NTS Energy Offtaken, Powerstations Total",582192226,15/06/2023 16:01:00,A
11/06/2023 01:00:00,11/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",44810900,13/06/2023 12:01:00,A
11/06/2023 01:00:00,11/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",535265548,14/06/2023 16:01:01,A
11/06/2023 01:00:00,11/06/2023,"NTS Energy Offtaken, Powerstations Total",439082328,12/06/2023 16:01:00,A
10/06/2023 01:00:00,10/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",40359395,12/06/2023 12:01:01,A
10/06/2023 01:00:00,10/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",484245375,14/06/2023 16:01:01,A
10/06/2023 01:00:00,10/06/2023,"NTS Energy Offtaken, Powerstations Total",210585683,12/06/2023 16:01:00,A
09/06/2023 01:00:00,09/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",41860924,10/06/2023 12:01:00,L
09/06/2023 01:00:00,09/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",588682599,14/06/2023 16:01:01,A
09/06/2023 01:00:00,09/06/2023,"NTS Energy Offtaken, Powerstations Total",285586062,12/06/2023 16:01:00,A
08/06/2023 01:00:00,08/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",41708988,09/06/2023 14:01:01,A
08/06/2023 01:00:00,08/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",653787986,13/06/2023 16:01:00,A
08/06/2023 01:00:00,08/06/2023,"NTS Energy Offtaken, Powerstations Total",395225513,12/06/2023 16:01:00,A
07/06/2023 01:00:00,07/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",42880211,08/06/2023 16:01:00,A
07/06/2023 01:00:00,07/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",704233995,09/06/2023 16:01:01,A
07/06/2023 01:00:00,07/06/2023,"NTS Energy Offtaken, Powerstations Total",543013059,09/06/2023 12:01:01,A
06/06/2023 01:00:00,06/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",42697357,08/06/2023 16:01:00,A
06/06/2023 01:00:00,06/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",740431471,09/06/2023 16:01:01,A
06/06/2023 01:00:00,06/06/2023,"NTS Energy Offtaken, Powerstations Total",571675257,09/06/2023 12:01:01,A
05/06/2023 01:00:00,05/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",42178848,06/06/2023 12:01:01,L
05/06/2023 01:00:00,05/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",672226294,09/06/2023 16:01:01,A
05/06/2023 01:00:00,05/06/2023,"NTS Energy Offtaken, Powerstations Total",498439446,09/06/2023 12:01:01,A
04/06/2023 01:00:00,04/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",44245912,05/06/2023 14:01:01,A
04/06/2023 01:00:00,04/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",594894596,06/06/2023 16:01:01,A
04/06/2023 01:00:00,04/06/2023,"NTS Energy Offtaken, Powerstations Total",325515062,06/06/2023 12:01:01,A
03/06/2023 01:00:00,03/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",44962979,05/06/2023 12:02:01,A
03/06/2023 01:00:00,03/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",568010610,06/06/2023 16:01:01,A
03/06/2023 01:00:00,03/06/2023,"NTS Energy Offtaken, Powerstations Total",291137702,08/06/2023 14:01:00,A
02/06/2023 01:00:00,02/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",44283355,05/06/2023 14:01:01,A
02/06/2023 01:00:00,02/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",670783778,06/06/2023 16:01:01,A
02/06/2023 01:00:00,02/06/2023,"NTS Energy Offtaken, Powerstations Total",359370203,05/06/2023 14:01:01,A
01/06/2023 01:00:00,01/06/2023,"NTS Energy Offtaken, Industrial Offtake Total",42995461,05/06/2023 14:01:01,A
01/06/2023 01:00:00,01/06/2023,"NTS Energy Offtaken, LDZ Offtake Total",733814228,06/06/2023 16:01:01,A
01/06/2023 01:00:00,01/06/2023,"NTS Energy Offtaken, Powerstations Total",370666977,06/06/2023 12:01:01,A
31/05/2023 01:00:00,31/05/2023,"NTS Energy Offtaken, Industrial Offtake Total",37926624,01/06/2023 12:01:00,L
31/05/2023 01:00:00,31/05/2023,"NTS Energy Offtaken, LDZ Offtake Total",720717011,02/06/2023 12:01:00,A
31/05/2023 01:00:00,31/05/2023,"NTS Energy Offtaken, Powerstations Total",423138615,05/06/2023 14:01:01,A
30/05/2023 01:00:00,30/05/2023,"NTS Energy Offtaken, Industrial Offtake Total",43057940,31/05/2023 14:01:01,A
30/05/2023 01:00:00,30/05/2023,"NTS Energy Offtaken, LDZ Offtake Total",698087497,02/06/2023 12:01:00,A
30/05/2023 01:00:00,30/05/2023,"NTS Energy Offtaken, Powerstations Total",373685960,02/06/2023 16:01:00,A
29/05/2023 01:00:00,29/05/2023,"NTS Energy Offtaken, Industrial Offtake Total",34402935,30/05/2023 12:01:01,L
29/05/2023 01:00:00,29/05/2023,"NTS Energy Offtaken, LDZ Offtake Total",611838432,02/06/2023 12:01:00,A
