Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
17/12/2023 00:00:00,17/12/2023,"NTS Energy Offtaken, Powerstations Total",168164645,18/12/2023 14:01:01,A
16/12/2023 00:00:00,16/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",56689267,18/12/2023 12:01:01,A
16/12/2023 00:00:00,16/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1615915632,19/12/2023 16:01:01,A
16/12/2023 00:00:00,16/12/2023,"NTS Energy Offtaken, Powerstations Total",197909628,17/12/2023 12:01:01,A
15/12/2023 00:00:00,15/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",55301163,16/12/2023 14:01:00,A
15/12/2023 00:00:00,15/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1924133644,19/12/2023 16:01:01,A
15/12/2023 00:00:00,15/12/2023,"NTS Energy Offtaken, Powerstations Total",567393414,17/12/2023 12:01:01,A
14/12/2023 00:00:00,14/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",71346901,15/12/2023 12:01:01,L
14/12/2023 00:00:00,14/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2100567439,19/12/2023 16:01:01,A
14/12/2023 00:00:00,14/12/2023,"NTS Energy Offtaken, Powerstations Total",771009162,15/12/2023 12:01:01,A
13/12/2023 00:00:00,13/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",59610365,14/12/2023 14:01:00,A
13/12/2023 00:00:00,13/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2039845285,18/12/2023 16:01:00,A
13/12/2023 00:00:00,13/12/2023,"NTS Energy Offtaken, Powerstations Total",730200332,15/12/2023 14:01:01,A
12/12/2023 00:00:00,12/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",58363842,13/12/2023 12:01:01,L
12/12/2023 00:00:00,12/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1832154677,15/12/2023 12:01:01,A
12/12/2023 00:00:00,12/12/2023,"NTS Energy Offtaken, Powerstations Total",676947870,13/12/2023 12:01:01,A
11/12/2023 00:00:00,11/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",60732626,12/12/2023 14:01:01,A
11/12/2023 00:00:00,11/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1836119405,15/12/2023 12:01:01,A
11/12/2023 00:00:00,11/12/2023,"NTS Energy Offtaken, Powerstations Total",646827451,13/12/2023 12:01:01,A
10/12/2023 00:00:00,10/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",45021727,11/12/2023 15:01:00,A
10/12/2023 00:00:00,10/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1755691508,15/12/2023 12:01:01,A
10/12/2023 00:00:00,10/12/2023,"NTS Energy Offtaken, Powerstations Total",259855255,11/12/2023 15:01:00,A
09/12/2023 00:00:00,09/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",44513086,10/12/2023 12:01:01,L
09/12/2023 00:00:00,09/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1750749364,12/12/2023 16:01:00,A
09/12/2023 00:00:00,09/12/2023,"NTS Energy Offtaken, Powerstations Total",157785777,10/12/2023 12:01:01,A
08/12/2023 00:00:00,08/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",55778901,09/12/2023 14:01:00,A
08/12/2023 00:00:00,08/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1918551665,12/12/2023 14:01:01,A
08/12/2023 00:00:00,08/12/2023,"NTS Energy Offtaken, Powerstations Total",537271552,11/12/2023 13:01:01,A
07/12/2023 00:00:00,07/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",62601725,08/12/2023 14:01:01,A
07/12/2023 00:00:00,07/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2236763879,11/12/2023 16:01:00,A
07/12/2023 00:00:00,07/12/2023,"NTS Energy Offtaken, Powerstations Total",543274261,08/12/2023 12:01:00,A
06/12/2023 00:00:00,06/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",80477464,08/12/2023 14:01:01,A
