Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",41332862,04/01/2022 16:01:01,A
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1359399702,04/01/2022 16:01:01,A
31/12/2021 00:00:00,31/12/2021,"NTS Energy Offtaken, Powerstations Total",216548234,03/01/2022 12:01:00,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43184476,04/01/2022 16:01:01,A
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1465177535,31/12/2021 12:01:01,L
30/12/2021 00:00:00,30/12/2021,"NTS Energy Offtaken, Powerstations Total",200369147,31/12/2021 12:01:01,A
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43393797,30/12/2021 14:01:00,A
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1747323686,31/12/2021 12:01:01,A
29/12/2021 00:00:00,29/12/2021,"NTS Energy Offtaken, Powerstations Total",228211223,30/12/2021 12:01:01,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",47840668,30/12/2021 12:01:01,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1824742065,30/12/2021 16:01:00,A
28/12/2021 00:00:00,28/12/2021,"NTS Energy Offtaken, Powerstations Total",470451169,29/12/2021 14:01:00,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",56472493,29/12/2021 12:01:00,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1885892821,29/12/2021 16:01:01,A
27/12/2021 00:00:00,27/12/2021,"NTS Energy Offtaken, Powerstations Total",496147092,29/12/2021 12:01:00,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",48412143,29/12/2021 12:01:00,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1985344875,28/12/2021 16:01:01,A
26/12/2021 00:00:00,26/12/2021,"NTS Energy Offtaken, Powerstations Total",380870585,28/12/2021 12:01:00,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, Industrial Offtake Total",43736973,29/12/2021 12:01:00,A
25/12/2021 00:00:00,25/12/2021,"NTS Energy Offtaken, LDZ Offtake Total",1966268488,26/12/2021 12:01:00,L
