Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
17/12/2024 00:00:00,17/12/2024,"NTS Energy Offtaken, Powerstations Total",427750831,19/12/2024 12:01:00,A
16/12/2024 00:00:00,16/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",61720588,18/12/2024 12:01:00,A
16/12/2024 00:00:00,16/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1689322298,18/12/2024 14:01:00,A
16/12/2024 00:00:00,16/12/2024,"NTS Energy Offtaken, Powerstations Total",280456348,19/12/2024 12:01:00,A
15/12/2024 00:00:00,15/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",68507976,17/12/2024 14:01:00,A
15/12/2024 00:00:00,15/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1655594430,17/12/2024 14:01:00,A
15/12/2024 00:00:00,15/12/2024,"NTS Energy Offtaken, Powerstations Total",171365054,17/12/2024 14:01:00,A
14/12/2024 00:00:00,14/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",58702531,15/12/2024 12:01:01,L
14/12/2024 00:00:00,14/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1904613335,16/12/2024 14:01:01,A
14/12/2024 00:00:00,14/12/2024,"NTS Energy Offtaken, Powerstations Total",395108154,17/12/2024 14:01:00,A
13/12/2024 00:00:00,13/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",79571309,14/12/2024 12:01:01,L
13/12/2024 00:00:00,13/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2143176737,16/12/2024 16:01:00,A
13/12/2024 00:00:00,13/12/2024,"NTS Energy Offtaken, Powerstations Total",970524051,16/12/2024 12:01:01,A
12/12/2024 00:00:00,12/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",88704338,16/12/2024 12:01:01,A
12/12/2024 00:00:00,12/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2213053864,13/12/2024 16:01:00,A
12/12/2024 00:00:00,12/12/2024,"NTS Energy Offtaken, Powerstations Total",1115608477,13/12/2024 12:01:00,A
11/12/2024 00:00:00,11/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",88908215,13/12/2024 12:01:00,A
11/12/2024 00:00:00,11/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2298974190,16/12/2024 14:01:01,A
11/12/2024 00:00:00,11/12/2024,"NTS Energy Offtaken, Powerstations Total",1098132986,13/12/2024 12:01:00,A
10/12/2024 00:00:00,10/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",74503788,11/12/2024 14:01:01,A
10/12/2024 00:00:00,10/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2240402821,13/12/2024 14:01:00,A
10/12/2024 00:00:00,10/12/2024,"NTS Energy Offtaken, Powerstations Total",951314840,13/12/2024 12:01:00,A
09/12/2024 00:00:00,09/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",61391855,11/12/2024 14:01:01,A
09/12/2024 00:00:00,09/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2136474761,11/12/2024 14:01:01,A
09/12/2024 00:00:00,09/12/2024,"NTS Energy Offtaken, Powerstations Total",530759913,11/12/2024 14:01:01,A
08/12/2024 00:00:00,08/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",56500735,09/12/2024 12:01:00,L
08/12/2024 00:00:00,08/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2058406428,11/12/2024 14:01:01,A
08/12/2024 00:00:00,08/12/2024,"NTS Energy Offtaken, Powerstations Total",177004854,09/12/2024 14:01:01,A
07/12/2024 00:00:00,07/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",55614879,10/12/2024 12:01:00,A
07/12/2024 00:00:00,07/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1997074052,11/12/2024 14:01:01,A
07/12/2024 00:00:00,07/12/2024,"NTS Energy Offtaken, Powerstations Total",221335631,09/12/2024 16:01:01,A
06/12/2024 00:00:00,06/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",57295853,09/12/2024 14:01:01,A
06/12/2024 00:00:00,06/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1917124707,11/12/2024 14:01:01,A
06/12/2024 00:00:00,06/12/2024,"NTS Energy Offtaken, Powerstations Total",414001192,09/12/2024 14:01:01,A
05/12/2024 00:00:00,05/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",56337318,09/12/2024 14:01:01,A
05/12/2024 00:00:00,05/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1713360304,06/12/2024 14:01:01,A
05/12/2024 00:00:00,05/12/2024,"NTS Energy Offtaken, Powerstations Total",291207272,06/12/2024 14:01:01,A
04/12/2024 00:00:00,04/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",71925513,05/12/2024 14:01:01,A
04/12/2024 00:00:00,04/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2083111155,06/12/2024 14:01:01,A
04/12/2024 00:00:00,04/12/2024,"NTS Energy Offtaken, Powerstations Total",712291558,05/12/2024 14:01:01,A
03/12/2024 00:00:00,03/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",75267800,05/12/2024 14:01:01,A
03/12/2024 00:00:00,03/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2098951024,06/12/2024 14:01:01,A
03/12/2024 00:00:00,03/12/2024,"NTS Energy Offtaken, Powerstations Total",854628796,05/12/2024 14:01:01,A
02/12/2024 00:00:00,02/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",60977736,05/12/2024 12:01:01,A
02/12/2024 00:00:00,02/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1777927805,03/12/2024 16:01:00,A
02/12/2024 00:00:00,02/12/2024,"NTS Energy Offtaken, Powerstations Total",522303884,03/12/2024 14:01:00,A
01/12/2024 00:00:00,01/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",57664886,02/12/2024 14:01:00,A
01/12/2024 00:00:00,01/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1357870366,03/12/2024 14:01:00,A
01/12/2024 00:00:00,01/12/2024,"NTS Energy Offtaken, Powerstations Total",275844868,05/12/2024 14:01:01,A
30/11/2024 00:00:00,30/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",59822526,03/12/2024 14:01:00,A
30/11/2024 00:00:00,30/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1460356444,03/12/2024 14:01:00,A
30/11/2024 00:00:00,30/11/2024,"NTS Energy Offtaken, Powerstations Total",330019499,01/12/2024 12:01:00,A
29/11/2024 00:00:00,29/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",59128168,03/12/2024 14:01:00,A
29/11/2024 00:00:00,29/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1967967772,03/12/2024 14:01:00,A
29/11/2024 00:00:00,29/11/2024,"NTS Energy Offtaken, Powerstations Total",472522765,02/12/2024 12:01:00,A
28/11/2024 00:00:00,28/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",70778841,03/12/2024 14:01:00,A
28/11/2024 00:00:00,28/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2400269612,02/12/2024 16:01:01,A
28/11/2024 00:00:00,28/11/2024,"NTS Energy Offtaken, Powerstations Total",731770638,03/12/2024 16:01:00,A
27/11/2024 00:00:00,27/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",61981104,28/11/2024 16:01:01,A
27/11/2024 00:00:00,27/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2138981984,29/11/2024 16:01:01,A
27/11/2024 00:00:00,27/11/2024,"NTS Energy Offtaken, Powerstations Total",781624067,29/11/2024 12:01:01,A
26/11/2024 00:00:00,26/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",61359990,28/11/2024 12:01:01,A
26/11/2024 00:00:00,26/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1954249327,27/11/2024 16:01:01,A
