Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
28/05/2024 01:00:00,28/05/2024,"NTS Energy Offtaken, Powerstations Total",197,29/05/2024 10:01:01,L
27/05/2024 01:00:00,27/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",41630790,28/05/2024 16:01:01,A
27/05/2024 01:00:00,27/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",671884361,28/05/2024 16:01:01,A
27/05/2024 01:00:00,27/05/2024,"NTS Energy Offtaken, Powerstations Total",209384525,28/05/2024 12:01:01,A
26/05/2024 01:00:00,26/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",40509731,28/05/2024 12:01:01,A
26/05/2024 01:00:00,26/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",635291544,28/05/2024 12:01:01,A
26/05/2024 01:00:00,26/05/2024,"NTS Energy Offtaken, Powerstations Total",162075775,28/05/2024 12:01:01,A
25/05/2024 01:00:00,25/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",42329181,26/05/2024 12:01:00,L
25/05/2024 01:00:00,25/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",614681448,28/05/2024 16:01:01,A
25/05/2024 01:00:00,25/05/2024,"NTS Energy Offtaken, Powerstations Total",214569701,28/05/2024 12:01:01,A
24/05/2024 01:00:00,24/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",50352898,28/05/2024 16:01:01,A
24/05/2024 01:00:00,24/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",812358104,28/05/2024 16:01:01,A
24/05/2024 01:00:00,24/05/2024,"NTS Energy Offtaken, Powerstations Total",496092854,28/05/2024 16:01:01,A
23/05/2024 01:00:00,23/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",41564348,24/05/2024 14:01:00,A
23/05/2024 01:00:00,23/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",834434422,24/05/2024 14:01:00,A
23/05/2024 01:00:00,23/05/2024,"NTS Energy Offtaken, Powerstations Total",267429647,24/05/2024 16:01:00,A
22/05/2024 01:00:00,22/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",42313440,23/05/2024 14:01:00,A
22/05/2024 01:00:00,22/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",775158901,24/05/2024 14:01:00,A
22/05/2024 01:00:00,22/05/2024,"NTS Energy Offtaken, Powerstations Total",256608020,25/05/2024 12:01:01,A
21/05/2024 01:00:00,21/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",42043117,23/05/2024 14:01:00,A
21/05/2024 01:00:00,21/05/2024,"NTS Energy Offtaken, LDZ Offtake Total",725330657,25/05/2024 12:01:01,A
21/05/2024 01:00:00,21/05/2024,"NTS Energy Offtaken, Powerstations Total",491792831,24/05/2024 14:01:00,A
20/05/2024 01:00:00,20/05/2024,"NTS Energy Offtaken, Industrial Offtake Total",41018262,21/05/2024 12:01:00,L
