Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
30/06/2022 01:00:00,30/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",85365540,01/07/2022 14:01:01,A
30/06/2022 01:00:00,30/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",705013043,01/07/2022 14:01:01,A
30/06/2022 01:00:00,30/06/2022,"NTS Energy Offtaken, Powerstations Total",759104407,05/07/2022 14:01:01,A
29/06/2022 01:00:00,29/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",82399745,30/06/2022 14:01:00,A
29/06/2022 01:00:00,29/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",676446721,30/06/2022 16:01:00,A
29/06/2022 01:00:00,29/06/2022,"NTS Energy Offtaken, Powerstations Total",694464550,04/07/2022 14:01:01,A
28/06/2022 01:00:00,28/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",78568540,29/06/2022 12:01:01,L
28/06/2022 01:00:00,28/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",629243056,30/06/2022 16:01:00,A
28/06/2022 01:00:00,28/06/2022,"NTS Energy Offtaken, Powerstations Total",590083277,29/06/2022 16:01:00,A
27/06/2022 01:00:00,27/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",81815740,28/06/2022 16:01:01,A
27/06/2022 01:00:00,27/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",622721869,28/06/2022 12:01:00,L
27/06/2022 01:00:00,27/06/2022,"NTS Energy Offtaken, Powerstations Total",682332080,30/06/2022 14:01:00,A
26/06/2022 01:00:00,26/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",63431440,27/06/2022 14:01:01,A
26/06/2022 01:00:00,26/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",535072238,27/06/2022 14:01:01,A
26/06/2022 01:00:00,26/06/2022,"NTS Energy Offtaken, Powerstations Total",337916440,30/06/2022 14:01:00,A
25/06/2022 01:00:00,25/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",63289137,26/06/2022 14:01:01,A
25/06/2022 01:00:00,25/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",510691274,27/06/2022 16:01:01,A
25/06/2022 01:00:00,25/06/2022,"NTS Energy Offtaken, Powerstations Total",309382882,27/06/2022 16:01:01,A
24/06/2022 01:00:00,24/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",73902963,25/06/2022 16:01:01,L
24/06/2022 01:00:00,24/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",577089279,27/06/2022 12:01:01,A
24/06/2022 01:00:00,24/06/2022,"NTS Energy Offtaken, Powerstations Total",630286163,25/06/2022 16:01:01,A
23/06/2022 01:00:00,23/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",71750326,27/06/2022 16:01:01,A
23/06/2022 01:00:00,23/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",570365653,24/06/2022 14:01:00,A
23/06/2022 01:00:00,23/06/2022,"NTS Energy Offtaken, Powerstations Total",785085223,27/06/2022 16:01:01,A
22/06/2022 01:00:00,22/06/2022,"NTS Energy Offtaken, Industrial Offtake Total",71135947,24/06/2022 14:01:00,A
22/06/2022 01:00:00,22/06/2022,"NTS Energy Offtaken, LDZ Offtake Total",568297162,27/06/2022 16:01:01,A
22/06/2022 01:00:00,22/06/2022,"NTS Energy Offtaken, Powerstations Total",784016480,25/06/2022 16:01:01,A
