Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2020 00:00:00,31/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",125542483,04/01/2021 14:01:01,A
31/12/2020 00:00:00,31/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2882821966,04/01/2021 16:01:00,A
31/12/2020 00:00:00,31/12/2020,"NTS Energy Offtaken, Powerstations Total",692898300,05/01/2021 12:01:00,A
30/12/2020 00:00:00,30/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",128534021,04/01/2021 12:01:02,A
30/12/2020 00:00:00,30/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2754612319,31/12/2020 14:01:01,A
30/12/2020 00:00:00,30/12/2020,"NTS Energy Offtaken, Powerstations Total",774491406,04/01/2021 12:01:02,A
29/12/2020 00:00:00,29/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",125913235,31/12/2020 14:01:01,A
29/12/2020 00:00:00,29/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2669595011,30/12/2020 16:01:00,A
29/12/2020 00:00:00,29/12/2020,"NTS Energy Offtaken, Powerstations Total",700818915,31/12/2020 12:01:00,A
28/12/2020 00:00:00,28/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",126747590,30/12/2020 12:01:01,A
28/12/2020 00:00:00,28/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2618577100,29/12/2020 12:01:01,L
28/12/2020 00:00:00,28/12/2020,"NTS Energy Offtaken, Powerstations Total",753317414,31/12/2020 14:01:01,A
27/12/2020 00:00:00,27/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",115514473,28/12/2020 14:01:00,A
27/12/2020 00:00:00,27/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2169019812,29/12/2020 12:01:01,A
27/12/2020 00:00:00,27/12/2020,"NTS Energy Offtaken, Powerstations Total",431176210,31/12/2020 14:01:01,A
26/12/2020 00:00:00,26/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",105188921,27/12/2020 12:01:00,L
26/12/2020 00:00:00,26/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2163426922,29/12/2020 16:01:00,A
26/12/2020 00:00:00,26/12/2020,"NTS Energy Offtaken, Powerstations Total",202435370,31/12/2020 14:01:01,A
25/12/2020 00:00:00,25/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",120905484,27/12/2020 12:01:00,A
25/12/2020 00:00:00,25/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2479287119,29/12/2020 16:01:00,A
25/12/2020 00:00:00,25/12/2020,"NTS Energy Offtaken, Powerstations Total",407202661,30/12/2020 12:01:01,A
24/12/2020 00:00:00,24/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",123032508,28/12/2020 12:01:00,A
24/12/2020 00:00:00,24/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2465887806,29/12/2020 16:01:00,A
24/12/2020 00:00:00,24/12/2020,"NTS Energy Offtaken, Powerstations Total",409348155,29/12/2020 16:01:00,A
23/12/2020 00:00:00,23/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",117376509,24/12/2020 14:01:00,A
23/12/2020 00:00:00,23/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2054142934,24/12/2020 14:01:00,A
23/12/2020 00:00:00,23/12/2020,"NTS Energy Offtaken, Powerstations Total",430493903,24/12/2020 12:01:00,A
22/12/2020 00:00:00,22/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",128468142,24/12/2020 14:01:00,A
22/12/2020 00:00:00,22/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",1996849390,24/12/2020 16:01:01,A
22/12/2020 00:00:00,22/12/2020,"NTS Energy Offtaken, Powerstations Total",775633151,23/12/2020 12:01:00,A
21/12/2020 00:00:00,21/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",109345534,22/12/2020 14:01:01,A
21/12/2020 00:00:00,21/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2006189664,22/12/2020 14:01:01,A
21/12/2020 00:00:00,21/12/2020,"NTS Energy Offtaken, Powerstations Total",581169041,22/12/2020 12:01:00,A
20/12/2020 00:00:00,20/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",119736826,21/12/2020 14:01:00,A
20/12/2020 00:00:00,20/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2021104930,21/12/2020 14:01:00,A
20/12/2020 00:00:00,20/12/2020,"NTS Energy Offtaken, Powerstations Total",306863337,21/12/2020 12:01:01,A
19/12/2020 00:00:00,19/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",110554161,20/12/2020 14:01:00,A
19/12/2020 00:00:00,19/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",1772219577,22/12/2020 12:01:00,A
19/12/2020 00:00:00,19/12/2020,"NTS Energy Offtaken, Powerstations Total",245559179,22/12/2020 12:01:00,A
18/12/2020 00:00:00,18/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",107212918,20/12/2020 14:01:00,A
18/12/2020 00:00:00,18/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",1837706277,22/12/2020 12:01:00,A
18/12/2020 00:00:00,18/12/2020,"NTS Energy Offtaken, Powerstations Total",347216989,19/12/2020 12:01:01,A
17/12/2020 00:00:00,17/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",120237451,18/12/2020 14:01:00,A
17/12/2020 00:00:00,17/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2074403855,18/12/2020 14:01:00,A
17/12/2020 00:00:00,17/12/2020,"NTS Energy Offtaken, Powerstations Total",508933779,18/12/2020 14:01:00,A
16/12/2020 00:00:00,16/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",128073664,17/12/2020 14:01:00,A
16/12/2020 00:00:00,16/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2142774916,17/12/2020 14:01:00,A
16/12/2020 00:00:00,16/12/2020,"NTS Energy Offtaken, Powerstations Total",490133299,17/12/2020 14:01:00,A
15/12/2020 00:00:00,15/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",120067207,17/12/2020 16:01:00,A
15/12/2020 00:00:00,15/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2085360541,17/12/2020 16:01:00,A
15/12/2020 00:00:00,15/12/2020,"NTS Energy Offtaken, Powerstations Total",612189548,16/12/2020 14:01:01,A
14/12/2020 00:00:00,14/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",112150738,15/12/2020 14:01:01,A
14/12/2020 00:00:00,14/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2015295695,15/12/2020 12:01:01,L
14/12/2020 00:00:00,14/12/2020,"NTS Energy Offtaken, Powerstations Total",488273888,15/12/2020 14:01:01,A
13/12/2020 00:00:00,13/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",104127423,15/12/2020 12:01:01,A
13/12/2020 00:00:00,13/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2140028824,15/12/2020 12:01:01,A
13/12/2020 00:00:00,13/12/2020,"NTS Energy Offtaken, Powerstations Total",363719997,14/12/2020 14:01:01,A
12/12/2020 00:00:00,12/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",123479530,14/12/2020 16:01:01,A
12/12/2020 00:00:00,12/12/2020,"NTS Energy Offtaken, LDZ Offtake Total",2031697291,16/12/2020 16:01:00,A
12/12/2020 00:00:00,12/12/2020,"NTS Energy Offtaken, Powerstations Total",694774994,13/12/2020 12:01:01,A
11/12/2020 00:00:00,11/12/2020,"NTS Energy Offtaken, Industrial Offtake Total",136344486,14/12/2020 14:01:01,A
