date,final_demand,power_generation,lng_trucks,total_demand
2025-11-01,495.94,269.63,12.71,778.29
2025-11-02,513.72,284.03,16.76,814.5
2025-11-03,634.28,310.53,49.05,993.86
2025-11-04,617.34,241.71,40.59,899.64
2025-11-05,606.67,229.13,43.65,879.44
2025-11-06,652.76,245.13,47.63,945.52
2025-11-07,668.85,293.16,41.25,1003.26
2025-11-08,574.79,279.97,16.22,870.97
2025-11-09,600.74,296.53,12.94,910.21
2025-11-10,700.5,372.9,47.8,1121.2
2025-11-11,679.09,303.0,46.36,1028.45
2025-11-12,626.84,259.45,41.43,927.72
2025-11-13,620.59,281.49,46.01,948.1
2025-11-14,604.97,261.23,39.82,906.02
2025-11-15,545.49,212.65,14.6,772.74
2025-11-16,563.6,253.37,14.46,831.43
2025-11-17,702.05,328.77,51.43,1082.26
2025-11-18,733.28,413.51,46.42,1193.22
2025-11-19,795.64,378.71,47.55,1221.9
2025-11-20,829.82,362.59,48.18,1240.59
2025-11-21,861.7,390.61,36.87,1289.17
2025-11-22,769.45,286.28,16.56,1072.29
2025-11-23,704.95,239.4,14.93,959.28
2025-11-24,787.67,287.68,53.12,1128.47
2025-11-25,812.45,329.5,45.66,1187.61
2025-11-26,849.98,367.99,48.25,1266.22
2025-11-27,870.8,414.8,49.93,1335.52
2025-11-28,853.37,447.62,42.93,1343.92
2025-11-29,754.45,308.25,18.85,1081.54
2025-11-30,757.2,309.45,18.56,1085.21
2025-12-01,862.36,383.0,52.89,1298.25
2025-12-02,871.77,415.94,48.84,1336.55
2025-12-03,882.66,359.67,54.17,1296.5
2025-12-04,883.81,341.19,54.75,1279.76
2025-12-05,806.25,321.11,36.21,1163.57
2025-12-06,624.58,239.27,15.47,879.32
2025-12-07,597.27,260.62,15.05,872.94
2025-12-08,664.42,244.21,27.49,936.13
2025-12-09,775.41,344.49,54.37,1174.26
2025-12-10,803.1,547.85,49.34,1400.28
2025-12-11,796.33,391.67,53.57,1241.57
2025-12-12,784.94,435.09,42.74,1262.77
2025-12-13,678.69,304.96,16.14,999.78
2025-12-14,698.92,301.71,17.41,1018.04
2025-12-15,791.18,417.07,49.95,1258.2
2025-12-16,809.53,424.29,47.79,1281.61
2025-12-17,792.1,513.16,44.36,1349.62
2025-12-18,783.12,361.62,51.95,1196.69
2025-12-19,783.14,502.63,39.88,1325.65
2025-12-20,698.43,240.56,18.78,957.76
2025-12-21,723.07,244.13,17.02,984.23
2025-12-22,826.44,327.04,52.74,1206.22
2025-12-23,795.86,327.15,50.99,1174.0
2025-12-24,652.85,195.34,16.52,864.7
2025-12-25,642.33,301.17,11.21,954.71
2025-12-26,725.14,356.04,38.67,1119.85
2025-12-27,698.36,250.15,16.95,965.46
2025-12-28,671.79,307.88,17.76,997.42
2025-12-29,732.93,444.59,48.22,1225.74
2025-12-30,745.47,326.68,41.24,1113.39
2025-12-31,706.82,374.96,19.19,1100.97
2026-01-01,674.79,309.89,13.93,998.61
2026-01-02,765.76,299.15,43.82,1108.72
2026-01-03,721.93,285.4,20.84,1028.18
2026-01-04,755.91,239.15,23.93,1018.99
2026-01-05,866.23,262.54,29.42,1158.19
2026-01-06,858.32,272.25,22.65,1153.22
2026-01-07,997.08,386.72,47.22,1431.01
2026-01-08,947.57,327.77,52.59,1327.93
2026-01-09,893.4,261.37,44.35,1199.12
2026-01-10,810.92,258.19,25.19,1094.3
2026-01-11,797.75,246.59,16.47,1060.81
