date,final_demand,power_generation,lng_trucks,total_demand
2019-03-30,692.81,213.42,12.3,918.53
2019-03-31,732.24,236.33,10.13,978.7
2019-04-01,815.01,357.5,53.39,1225.9
2019-04-02,806.07,299.47,44.23,1149.77
2019-04-03,861.59,186.03,46.19,1093.81
2019-04-04,883.85,249.14,46.74,1179.73
2019-04-05,917.85,215.29,38.47,1171.61
2019-04-06,826.72,80.19,10.11,917.02
2019-04-07,806.56,122.22,12.03,940.81
2019-04-08,877.23,249.04,54.88,1181.15
2019-04-09,900.42,189.16,47.61,1137.19
2019-04-10,892.53,231.99,43.08,1167.6
2019-04-11,875.01,269.82,47.08,1191.91
2019-04-12,819.84,259.76,40.89,1120.49
2019-04-13,697.32,209.64,15.47,922.43
2019-04-14,655.48,185.92,12.8,854.2
2019-04-15,738.82,191.05,51.78,981.65
2019-04-16,738.48,267.72,47.39,1053.59
2019-04-17,718.35,174.86,36.27,929.48
2019-04-18,692.67,244.91,20.02,957.6
2019-04-19,656.08,142.7,10.12,808.9
2019-04-20,630.68,118.16,17.84,766.68
2019-04-21,663.86,178.39,12.91,855.16
2019-04-22,701.09,237.02,33.61,971.72
2019-04-23,786.67,178.17,45.59,1010.43
2019-04-24,847.64,87.98,47.76,983.38
2019-04-25,829.48,96.37,47.43,973.28
2019-04-26,806.46,207.38,36.19,1050.03
2019-04-27,691.09,181.62,12.19,884.9
2019-04-28,661.23,165.22,14.5,840.95
