date,final_demand,power_generation,lng_trucks,total_demand
2025-01-03,806.18,166.79,43.85,1016.82
2025-01-04,696.65,159.3,17.76,873.72
2025-01-05,631.08,112.51,12.55,756.14
2025-01-06,657.62,126.0,18.46,802.09
2025-01-07,838.98,133.97,45.59,1018.54
2025-01-08,820.85,133.07,44.78,998.69
2025-01-09,788.75,160.33,47.3,996.38
2025-01-10,770.18,168.64,40.94,979.76
2025-01-11,644.17,137.98,16.87,799.02
2025-01-12,703.04,161.36,16.06,880.46
2025-01-13,921.08,252.16,48.24,1221.48
2025-01-14,969.93,443.98,46.34,1460.25
2025-01-15,980.7,350.8,47.72,1379.22
2025-01-16,962.42,386.24,50.93,1399.59
2025-01-17,926.19,429.48,44.1,1399.77
2025-01-18,817.83,337.85,20.35,1176.02
2025-01-19,820.22,259.4,16.89,1096.52
2025-01-20,931.26,554.24,47.12,1532.62
2025-01-21,894.08,388.49,50.07,1332.64
2025-01-22,838.62,268.13,42.78,1149.53
2025-01-23,804.72,265.56,49.75,1120.03
2025-01-24,758.25,105.82,41.01,905.08
2025-01-25,639.52,122.05,18.49,780.06
2025-01-26,641.07,97.24,12.48,750.79
2025-01-27,703.01,95.96,49.5,848.47
2025-01-28,772.1,96.13,46.64,914.87
2025-01-29,812.84,154.06,44.77,1011.66
2025-01-30,831.58,155.41,47.27,1034.27
2025-01-31,851.62,222.72,42.13,1116.47
2025-02-01,757.5,190.73,16.4,964.63
