date,final_demand,power_generation,lng_trucks,total_demand
2018-10-31,926.0,355.92,28.06,1309.98
2018-11-01,817.53,117.78,17.14,952.45
2018-11-02,815.32,259.07,44.84,1119.23
2018-11-03,772.35,264.22,16.13,1052.7
2018-11-04,778.0,84.28,15.92,878.2
2018-11-05,918.73,200.35,51.42,1170.5
2018-11-06,933.95,157.47,41.14,1132.56
2018-11-07,904.15,277.0,48.76,1229.91
2018-11-08,901.74,245.2,46.06,1193.0
2018-11-09,884.77,148.44,36.27,1069.48
2018-11-10,772.42,97.12,11.65,881.19
2018-11-11,740.49,154.05,13.24,907.78
2018-11-12,855.39,344.83,54.24,1254.46
2018-11-13,840.12,312.65,43.01,1195.78
2018-11-14,825.81,272.48,47.2,1145.49
2018-11-15,817.88,313.2,42.91,1173.99
2018-11-16,808.06,284.16,37.83,1130.05
2018-11-17,729.46,129.99,12.39,871.84
2018-11-18,774.03,131.07,13.43,918.53
2018-11-19,879.81,413.15,54.04,1347.0
2018-11-20,927.89,284.24,46.59,1258.72
2018-11-21,933.45,297.29,47.3,1278.04
2018-11-22,941.43,358.03,46.16,1345.62
2018-11-23,946.55,316.26,38.25,1301.06
2018-11-24,865.53,163.46,12.82,1041.81
2018-11-25,857.63,136.94,16.3,1010.87
2018-11-26,987.16,179.93,52.5,1219.59
2018-11-27,981.57,318.54,47.63,1347.74
2018-11-28,986.23,310.94,47.49,1344.66
2018-11-29,993.99,292.17,47.06,1333.22
