"Name","Location","Date","Value","Unit"
"DM","DM",2019-05-13,9540518,"kWh"
"DM","DM",2019-05-14,9629802,"kWh"
"DM","DM",2019-05-15,9076761,"kWh"
"DM","DM",2019-05-16,9239043,"kWh"
"DM","DM",2019-05-17,9086104,"kWh"
"DM","DM",2019-05-18,7253660,"kWh"
"DM","DM",2019-05-19,6816207,"kWh"
"DM","DM",2019-05-20,9063294,"kWh"
"DM","DM",2019-05-21,9126160,"kWh"
"DM","DM",2019-05-22,9004924,"kWh"
"DM","DM",2019-05-23,9033345,"kWh"
"DM","DM",2019-05-24,8339733,"kWh"
"DM","DM",2019-05-25,6519458,"kWh"
"DM","DM",2019-05-26,6320634,"kWh"
"DM","DM",2019-05-27,8936375,"kWh"
"DM","DM",2019-05-28,9275889,"kWh"
"DM","DM",2019-05-29,8836071,"kWh"
"DM","DM",2019-05-30,8561998,"kWh"
"DM","DM",2019-05-31,8126550,"kWh"
"DM","DM",2019-06-01,6308477,"kWh"
"DM","DM",2019-06-02,5966905,"kWh"
"DM","DM",2019-06-03,7115815,"kWh"
"DM","DM",2019-06-04,9088874,"kWh"
"DM","DM",2019-06-05,9569864,"kWh"
"DM","DM",2019-06-06,9395125,"kWh"
"DM","DM",2019-06-07,8723370,"kWh"
"DM","DM",2019-06-08,7020618,"kWh"
"DM","DM",2019-06-09,6619397,"kWh"
"DM","DM",2019-06-10,8768075,"kWh"
"DM","DM",2019-06-11,8929061,"kWh"
"DM","DM",2019-06-12,8969989,"kWh"
"DM","DM",2019-06-13,9016642,"kWh"
"DM","DM",2019-06-14,8731023,"kWh"
"DM","DM",2019-06-15,6836389,"kWh"
"DM","DM",2019-06-16,6487921,"kWh"
"DM","DM",2019-06-17,8503078,"kWh"
"DM","DM",2019-06-18,8658788,"kWh"
"DM","DM",2019-06-19,8906392,"kWh"
"DM","DM",2019-06-20,9053719,"kWh"
"DM","DM",2019-06-21,8738531,"kWh"
"DM","DM",2019-06-22,6497949,"kWh"
"DM","DM",2019-06-23,6343771,"kWh"
"DM","DM",2019-06-24,8340450,"kWh"
"DM","DM",2019-06-25,8674660,"kWh"
"DM","DM",2019-06-26,8782137,"kWh"
"DM","DM",2019-06-27,8358438,"kWh"
"DM","DM",2019-06-28,7671685,"kWh"
"DM","DM",2019-06-29,6074714,"kWh"
"DM","DM",2019-06-30,5946005,"kWh"
"DM","DM",2019-07-01,8177262,"kWh"
"DM","DM",2019-07-02,8465918,"kWh"
"DM","DM",2019-07-03,8445105,"kWh"
"DM","DM",2019-07-04,8353728,"kWh"
"DM","DM",2019-07-05,7754407,"kWh"
"DM","DM",2019-07-06,6152333,"kWh"
"DM","DM",2019-07-07,5845873,"kWh"
"DM","DM",2019-07-08,7974819,"kWh"
"DM","DM",2019-07-09,8114390,"kWh"
"DM","DM",2019-07-10,7825189,"kWh"
"DM","DM",2019-07-11,7821065,"kWh"
"DM","DM",2019-07-12,7670740,"kWh"
"DM","DM",2019-07-13,6037712,"kWh"
"DM","DM",2019-07-14,5564929,"kWh"
"DM","DM",2019-07-15,7405095,"kWh"
"DM","DM",2019-07-16,7717863,"kWh"
"DM","DM",2019-07-17,7694194,"kWh"
"DM","DM",2019-07-18,7796243,"kWh"
"DM","DM",2019-07-19,7591520,"kWh"
"DM","DM",2019-07-20,5795180,"kWh"
"DM","DM",2019-07-21,5595500,"kWh"
"DM","DM",2019-07-22,7454065,"kWh"
"DM","DM",2019-07-23,7773197,"kWh"
"DM","DM",2019-07-24,7607328,"kWh"
"DM","DM",2019-07-25,7739912,"kWh"
"DM","DM",2019-07-26,7304285,"kWh"
"DM","DM",2019-07-27,5472248,"kWh"
"DM","DM",2019-07-28,5163917,"kWh"
"DM","DM",2019-07-29,7113255,"kWh"
"DM","DM",2019-07-30,7753097,"kWh"
"DM","DM",2019-07-31,7539234,"kWh"
"DM","DM",2019-08-01,7462077,"kWh"
"DM","DM",2019-08-02,7194539,"kWh"
"DM","DM",2019-08-03,5766435,"kWh"
"DM","DM",2019-08-04,5519580,"kWh"
"DM","DM",2019-08-05,6264832,"kWh"
"DM","DM",2019-08-06,7470115,"kWh"
"DM","DM",2019-08-07,7673883,"kWh"
"DM","DM",2019-08-08,7657084,"kWh"
"DM","DM",2019-08-09,7552657,"kWh"
"DM","DM",2019-08-10,6417543,"kWh"
"DM","DM",2019-08-11,6094444,"kWh"
"DM","DM",2019-08-12,8305356,"kWh"
"DM","DM",2019-08-13,8462081,"kWh"
"DM","DM",2019-08-14,8244513,"kWh"
"DM","DM",2019-08-15,8397340,"kWh"
"DM","DM",2019-08-16,7869274,"kWh"
"DM","DM",2019-08-17,6528343,"kWh"
"DM","DM",2019-08-18,6357914,"kWh"
"DM","DM",2019-08-19,8566359,"kWh"
"DM","DM",2019-08-20,8839738,"kWh"
"DM","DM",2019-08-21,8716549,"kWh"
"DM","DM",2019-08-22,8523937,"kWh"
"DM","DM",2019-08-23,8343942,"kWh"
"DM","DM",2019-08-24,6604263,"kWh"
"DM","DM",2019-08-25,6094416,"kWh"
"DM","DM",2019-08-26,8355387,"kWh"
"DM","DM",2019-08-27,8549972,"kWh"
"DM","DM",2019-08-28,8373443,"kWh"
"DM","DM",2019-08-29,8709976,"kWh"
"DM","DM",2019-08-30,8354634,"kWh"
"DM","DM",2019-08-31,6907481,"kWh"
"DM","DM",2019-09-01,6632388,"kWh"
"DM","DM",2019-09-02,8668042,"kWh"
"DM","DM",2019-09-03,8634436,"kWh"
"DM","DM",2019-09-04,8840387,"kWh"
"DM","DM",2019-09-05,8913941,"kWh"
"DM","DM",2019-09-06,8392137,"kWh"
