date,demand,idt
2019-04-25,97731706.0,be-tso-0001dis-00191exit
2019-04-26,95588113.0,be-tso-0001dis-00191exit
2019-04-27,102358197.0,be-tso-0001dis-00191exit
2019-04-28,119658821.0,be-tso-0001dis-00191exit
2019-04-29,120360170.0,be-tso-0001dis-00191exit
2019-04-30,118506641.0,be-tso-0001dis-00191exit
2019-05-01,101544868.0,be-tso-0001dis-00191exit
2019-05-02,124683429.0,be-tso-0001dis-00191exit
2019-05-03,129478684.0,be-tso-0001dis-00191exit
2019-05-04,133625087.0,be-tso-0001dis-00191exit
2019-05-05,140182646.0,be-tso-0001dis-00191exit
2019-05-06,171547446.0,be-tso-0001dis-00191exit
2019-05-07,142896329.0,be-tso-0001dis-00191exit
2019-05-08,143925723.0,be-tso-0001dis-00191exit
2019-05-09,129549906.0,be-tso-0001dis-00191exit
2019-05-10,117602884.0,be-tso-0001dis-00191exit
2019-05-11,98328165.0,be-tso-0001dis-00191exit
2019-05-12,106491405.0,be-tso-0001dis-00191exit
2019-05-13,116431236.0,be-tso-0001dis-00191exit
2019-05-14,110955162.0,be-tso-0001dis-00191exit
2019-05-15,101255255.0,be-tso-0001dis-00191exit
2019-05-16,95224763.0,be-tso-0001dis-00191exit
2019-05-17,105744785.0,be-tso-0001dis-00191exit
2019-05-18,72598192.0,be-tso-0001dis-00191exit
2019-05-19,78609619.0,be-tso-0001dis-00191exit
2019-05-20,112726952.0,be-tso-0001dis-00191exit
2019-05-21,104978152.0,be-tso-0001dis-00191exit
2019-05-22,92149259.0,be-tso-0001dis-00191exit
2019-05-23,78902843.0,be-tso-0001dis-00191exit
2019-05-24,69200052.0,be-tso-0001dis-00191exit
2019-05-25,59569131.0,be-tso-0001dis-00191exit
2019-05-26,57137185.0,be-tso-0001dis-00191exit
2019-05-27,73327770.0,be-tso-0001dis-00191exit
2019-05-28,87831088.0,be-tso-0001dis-00191exit
2019-05-29,78834384.0,be-tso-0001dis-00191exit
2019-05-30,60260463.0,be-tso-0001dis-00191exit
2019-05-31,56278037.0,be-tso-0001dis-00191exit
2019-06-01,45092343.0,be-tso-0001dis-00191exit
2019-06-02,42032454.0,be-tso-0001dis-00191exit
2019-06-03,62262922.0,be-tso-0001dis-00191exit
2019-06-04,63533047.0,be-tso-0001dis-00191exit
2019-06-05,68477830.0,be-tso-0001dis-00191exit
2019-06-06,72403573.0,be-tso-0001dis-00191exit
2019-06-07,70462544.0,be-tso-0001dis-00191exit
2019-06-08,62948978.0,be-tso-0001dis-00191exit
2019-06-09,53191024.0,be-tso-0001dis-00191exit
2019-06-10,56998160.0,be-tso-0001dis-00191exit
2019-06-11,72274864.0,be-tso-0001dis-00191exit
2019-06-12,80448368.0,be-tso-0001dis-00191exit
2019-06-13,80756258.0,be-tso-0001dis-00191exit
2019-06-14,67088275.0,be-tso-0001dis-00191exit
2019-06-15,50685372.0,be-tso-0001dis-00191exit
2019-06-16,49505558.0,be-tso-0001dis-00191exit
2019-06-17,60277899.0,be-tso-0001dis-00191exit
2019-06-18,59579725.0,be-tso-0001dis-00191exit
2019-06-19,61195915.0,be-tso-0001dis-00191exit
2019-06-20,63846995.0,be-tso-0001dis-00191exit
2019-06-21,60901992.0,be-tso-0001dis-00191exit
2019-06-22,44800875.0,be-tso-0001dis-00191exit
2019-06-23,40763096.0,be-tso-0001dis-00191exit
2019-06-24,53818092.0,be-tso-0001dis-00191exit
2019-06-25,53697194.0,be-tso-0001dis-00191exit
2019-06-26,57565383.0,be-tso-0001dis-00191exit
2019-06-27,57631702.0,be-tso-0001dis-00191exit
